DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0,0,0,0,0,0,0,0
0.0153633,12,0.0153633,12,0.0153633,12,0.0153633,12
0.0307265,21,0.0307265,21,0.0307265,21,0.0307265,21
0.0460898,32,0.0460898,32,0.0460898,32,0.0460898,32
0.061453,42,0.061453,42,0.061453,42,0.061453,42
0.0768163,53,0.0768163,53,0.0768163,53,0.0768163,53
0.0921795,61,0.0921795,61,0.0921795,61,0.0921795,61
0.107543,75,0.107543,75,0.107543,75,0.107543,75
0.122906,80,0.122906,80,0.122906,80,0.122906,80
0.138269,95,0.138269,94,0.138269,94,0.138269,94
0.153633,104,0.153633,104,0.153633,104,0.153633,104
0.168996,112,0.168996,111,0.168996,112,0.168996,112
0.184359,127,0.184359,126,0.184359,126,0.184359,126
0.199722,134,0.199722,133,0.199722,133,0.199722,133
0.215086,148,0.215086,147,0.215086,147,0.215086,147
0.230449,158,0.230449,157,0.230449,157,0.230449,157
0.245812,166,0.245812,166,0.245812,166,0.245812,166
0.261175,179,0.261175,178,0.261175,178,0.261175,178
0.276539,188,0.276539,188,0.276539,188,0.276539,188
0.291902,196,0.291902,198,0.291902,198,0.291902,198
0.307265,209,0.307265,207,0.307265,207,0.307265,207
0.322628,217,0.322628,216,0.322628,216,0.322628,216
0.337992,230,0.337992,229,0.337992,229,0.337992,229
0.353355,238,0.353355,237,0.353355,237,0.353355,237
0.368718,250,0.368718,250,0.368718,250,0.368718,250
0.384081,262,0.384081,258,0.384081,258,0.384081,258
0.399445,272,0.399445,271,0.399445,271,0.399445,271
0.414808,283,0.414808,283,0.414808,283,0.414808,283
0.430171,292,0.430171,291,0.430171,291,0.430171,291
0.445534,304,0.445534,304,0.445534,304,0.445534,304
0.460898,313,0.460898,312,0.460898,312,0.460898,312
0.476261,322,0.476261,322,0.476261,322,0.476261,322
0.491624,335,0.491624,333,0.491624,333,0.491624,333
0.506987,343,0.506987,342,0.506987,343,0.506987,343
0.522351,355,0.522351,354,0.522351,354,0.522351,354
0.537714,366,0.537714,365,0.537714,365,0.537714,365
0.553077,377,0.553077,372,0.553077,372,0.553077,372
0.56844,388,0.56844,389,0.56844,389,0.56844,389
0.583804,398,0.583804,395,0.583804,395,0.583804,395
0.599167,408,0.599167,408,0.599167,408,0.599167,408
0.61453,418,0.61453,419,0.61453,419,0.61453,419
0.629893,427,0.629893,426,0.629893,426,0.629893,426
0.645257,439,0.645257,440,0.645257,440,0.645257,440
0.66062,450,0.66062,447,0.66062,447,0.66062,447
0.675983,459,0.675983,459,0.675983,459,0.675983,459
0.691347,473,0.691347,472,0.691347,472,0.691347,472
0.70671,482,0.70671,478,0.70671,478,0.70671,478
0.722073,492,0.722073,494,0.722073,494,0.722073,494
0.737436,505,0.737436,502,0.737436,502,0.737436,502
0.7528,511,0.7528,512,0.7528,512,0.7528,512
0.768163,524,0.768163,524,0.768163,525,0.768163,525
0.774999,527,0.774999,527,0.774999,527,0.774999,527
0.775015,527,0.775015,527,0.775015,527,0.775015,527
0.77503,528,0.77503,527,0.77503,527,0.77503,527
0.775046,528,0.775046,527,0.775046,527,0.775046,527
0.775061,528,0.775061,527,0.775061,526,0.775061,526
0.775076,528,0.775076,526,0.775076,526,0.775076,526
0.775092,528,0.775092,526,0.775092,526,0.775092,526
0.775107,528,0.775107,526,0.775107,526,0.775107,526
0.775122,528,0.775122,526,0.775122,526,0.775122,526
0.775138,528,0.775138,526,0.775138,526,0.775138,526
0.775153,528,0.775153,526,0.775153,526,0.775153,526
0.775168,528,0.775168,526,0.775168,526,0.775168,526
0.775184,528,0.775184,526,0.775184,526,0.775184,526
0.775199,528,0.775199,526,0.775199,526,0.775199,526
0.775215,528,0.775215,526,0.775215,526,0.775215,526
0.77523,528,0.77523,526,0.77523,527,0.77523,527
0.775245,528,0.775245,527,0.775245,527,0.775245,527
0.775261,528,0.775261,527,0.775261,527,0.775261,527
0.775276,528,0.775276,527,0.775276,527,0.775276,527
0.775291,528,0.775291,527,0.775291,527,0.775291,527
0.775307,528,0.775307,527,0.775307,527,0.775307,527
0.775322,529,0.775322,528,0.775322,528,0.775322,528
0.775337,529,0.775337,528,0.775337,528,0.775337,528
0.775353,529,0.775353,528,0.775353,528,0.775353,528
0.775368,529,0.775368,528,0.775368,528,0.775368,528
0.775384,528,0.775384,528,0.775384,527,0.775384,527
0.775399,528,0.775399,528,0.775399,527,0.775399,527
0.775414,528,0.775414,527,0.775414,527,0.775414,527
0.77543,528,0.77543,527,0.77543,527,0.77543,527
0.775445,528,0.775445,527,0.775445,527,0.775445,527
0.77546,528,0.77546,527,0.77546,527,0.77546,527
0.775476,528,0.775476,527,0.775476,527,0.775476,527
0.775491,528,0.775491,527,0.775491,527,0.775491,527
0.775506,528,0.775506,527,0.775506,527,0.775506,527
0.775522,528,0.775522,527,0.775522,527,0.775522,527
0.775537,528,0.775537,527,0.775537,527,0.775537,527
0.775553,528,0.775553,527,0.775553,527,0.775553,527
0.775568,528,0.775568,527,0.775568,527,0.775568,527
0.775583,528,0.775583,527,0.775583,527,0.775583,527
0.775599,528,0.775599,527,0.775599,527,0.775599,527
0.775614,528,0.775614,527,0.775614,527,0.775614,527
0.775629,528,0.775629,527,0.775629,527,0.775629,527
0.775645,528,0.775645,527,0.775645,527,0.775645,527
0.77566,528,0.77566,527,0.77566,527,0.77566,527
0.775675,528,0.775675,527,0.775675,527,0.775675,527
0.775691,528,0.775691,527,0.775691,527,0.775691,527
0.775706,528,0.775706,527,0.775706,528,0.775706,528
0.775722,528,0.775722,528,0.775722,528,0.775722,528
0.775737,528,0.775737,528,0.775737,528,0.775737,528
0.775752,528,0.775752,528,0.775752,528,0.775752,528
0.775768,528,0.775768,528,0.775768,528,0.775768,528
0.775783,527,0.775783,528,0.775783,528,0.775783,528
0.775798,527,0.775798,528,0.775798,528,0.775798,528
0.775814,527,0.775814,528,0.775814,528,0.775814,528
0.775829,528,0.775829,528,0.775829,528,0.775829,528
0.775844,528,0.775844,528,0.775844,528,0.775844,528
0.77586,528,0.77586,528,0.77586,528,0.77586,528
0.775875,528,0.775875,528,0.775875,528,0.775875,528
0.775891,528,0.775891,528,0.775891,527,0.775891,527
0.775906,529,0.775906,528,0.775906,527,0.775906,527
0.775921,529,0.775921,528,0.775921,527,0.775921,527
0.775937,529,0.775937,527,0.775937,527,0.775937,527
0.775952,530,0.775952,527,0.775952,527,0.775952,527
0.775967,530,0.775967,527,0.775967,527,0.775967,527
0.775983,530,0.775983,527,0.775983,527,0.775983,527
0.775998,530,0.775998,527,0.775998,527,0.775998,527
