Dx5,Fx5,Dx4,Fx4,Dx3,Fx3,Dx2,Fx2,Dx1.5,Fx1.5,Dx1.2,Fx1.2,Dx1,Fx1,Dx0.875,Fx0.875
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.106872,164,0.0770332,104,0.051078,56,0.0291838,25,0.0202472,14,0.0153633,12,0.0123151,10,0.0110847,12
0.213745,326,0.154066,202,0.102156,112,0.0583676,45,0.0404944,28,0.0307265,21,0.0246301,21,0.0221694,24
0.320617,493,0.2311,300,0.153234,165,0.0875515,75,0.0607416,45,0.0460898,32,0.0369452,31,0.0332541,32
0.427489,659,0.308133,400,0.204312,225,0.116735,93,0.0809888,56,0.061453,42,0.0492602,36,0.0443388,40
0.499949,772,0.385166,502,0.25539,278,0.145919,122,0.101236,73,0.0768163,53,0.0615753,44,0.0554235,53
0.500056,772,0.462199,604,0.306468,337,0.175103,144,0.121483,86,0.0921795,61,0.0738903,53,0.0665082,67
0.500163,772,0.500022,653,0.357546,391,0.204287,170,0.14173,103,0.107543,75,0.0862054,63,0.0775929,77
0.500269,771,0.500099,653,0.408624,448,0.233471,194,0.161978,115,0.122906,80,0.0985204,72,0.0886776,85
0.500376,770,0.500176,653,0.459702,503,0.262654,218,0.182225,129,0.138269,95,0.110835,84,0.0997623,93
0.500483,769,0.500253,653,0.51078,560,0.291838,244,0.202472,147,0.153633,104,0.123151,94,0.110847,104
0.50059,769,0.50033,654,0.561858,614,0.321022,268,0.222719,159,0.168996,112,0.135466,103,0.121932,115
0.500697,769,0.500407,654,0.612936,674,0.350206,292,0.242966,175,0.184359,127,0.147781,109,0.133016,128
0.500804,769,0.500484,655,0.650019,712,0.37939,314,0.263214,189,0.199722,134,0.160096,118,0.144101,139
0.500911,769,0.500562,655,0.65007,713,0.408573,341,0.283461,205,0.215086,148,0.172411,126,0.155186,148
0.501018,768,0.500639,654,0.650121,713,0.437757,362,0.303708,216,0.230449,158,0.184726,137,0.16627,158
0.501124,768,0.500716,653,0.650172,714,0.466941,389,0.323955,236,0.245812,166,0.197041,146,0.177355,170
0.501231,770,0.500793,653,0.650223,714,0.496125,410,0.344202,248,0.261175,179,0.209356,158,0.18844,180
0.501338,771,0.50087,653,0.650274,714,0.525309,438,0.364449,262,0.276539,188,0.221671,167,0.199525,192
0.501445,772,0.500947,654,0.650326,714,0.554493,460,0.384697,279,0.291902,196,0.233986,177,0.210609,203
0.501552,772,0.501024,655,0.650377,713,0.583676,487,0.404944,292,0.307265,209,0.246301,184,0.221694,215
0.501659,772,0.501101,655,0.650428,713,0.61286,509,0.425191,310,0.322628,217,0.258616,192,0.232779,223
0.501766,772,0.501178,655,0.650479,713,0.642044,536,0.445438,320,0.337992,230,0.270931,202,0.243863,234
0.501872,773,0.501255,655,0.65053,713,0.671228,559,0.465685,336,0.353355,238,0.283246,213,0.254948,245
0.501979,774,0.501332,655,0.650581,713,0.700003,583,0.485933,351,0.368718,250,0.295561,221,0.266033,256
0.502086,774,0.501409,656,0.650632,713,0.700032,583,0.50618,368,0.384081,262,0.307876,230,0.277117,267
0.502193,773,0.501486,656,0.650683,713,0.700061,583,0.526427,379,0.399445,272,0.320191,240,0.288202,275
0.5023,773,0.501563,657,0.650734,713,0.700091,583,0.546674,394,0.414808,283,0.332506,251,0.299287,284
0.502407,773,0.50164,657,0.650785,713,0.70012,583,0.566921,409,0.430171,292,0.344821,258,0.310371,295
0.502514,774,0.501717,656,0.650836,713,0.700149,583,0.587169,427,0.445534,304,0.357137,268,0.321456,309
0.502621,775,0.501794,655,0.650887,713,0.700178,583,0.607416,439,0.460898,313,0.369452,278,0.332541,322
0.502727,775,0.501871,655,0.650938,713,0.700207,584,0.627663,452,0.476261,322,0.381767,287,0.343626,332
0.502834,775,0.501948,654,0.65099,714,0.700237,584,0.64791,470,0.491624,335,0.394082,293,0.35471,339
0.502941,775,0.502025,655,0.651041,714,0.700266,584,0.668157,482,0.506987,343,0.406397,304,0.365795,350
0.503048,775,0.502102,655,0.651092,715,0.700295,584,0.688405,499,0.522351,355,0.418712,314,0.37688,363
0.503155,777,0.502179,655,0.651143,715,0.700324,584,0.708652,511,0.537714,366,0.431027,326,0.387964,375
0.503262,777,0.502256,656,0.651194,716,0.700353,584,0.728899,530,0.553077,377,0.443342,335,0.399049,383
0.503369,778,0.502333,655,0.651245,716,0.700382,584,0.749146,541,0.56844,388,0.455657,344,0.410134,392
0.503476,777,0.50241,655,0.651296,716,0.700412,585,0.749997,543,0.583804,398,0.467972,352,0.421218,401
0.503582,778,0.502487,655,0.651347,716,0.700441,585,0.750017,543,0.599167,408,0.480287,360,0.432303,414
0.503689,778,0.502564,656,0.651398,716,0.70047,585,0.750037,542,0.61453,418,0.492602,368,0.443388,427
0.503796,779,0.502641,657,0.651449,716,0.700499,585,0.750057,542,0.629893,427,0.504917,379,0.454473,439
0.503903,780,0.502718,657,0.6515,716,0.700528,585,0.750078,542,0.645257,439,0.517232,390,0.465557,447
0.50401,780,0.502795,656,0.651551,716,0.700558,585,0.750098,542,0.66062,450,0.529547,401,0.476642,456
0.504117,779,0.502873,655,0.651602,716,0.700587,585,0.750118,541,0.675983,459,0.541862,411,0.487727,468
0.504224,778,0.50295,654,0.651654,715,0.700616,585,0.750138,541,0.691347,473,0.554177,419,0.498811,482
0.504331,778,0.503027,653,0.651705,715,0.700645,585,0.750159,541,0.70671,482,0.566492,426,0.509896,492
0.504437,778,0.503104,653,0.651756,714,0.700674,585,0.750179,541,0.722073,492,0.578807,434,0.520981,500
0.504544,778,0.503181,653,0.651807,714,0.700703,585,0.750199,541,0.737436,505,0.591123,444,0.532065,511
0.504651,777,0.503258,653,0.651858,713,0.700733,585,0.750219,541,0.7528,511,0.603438,455,0.54315,522
0.504758,776,0.503335,652,0.651909,711,0.700762,586,0.75024,541,0.768163,524,0.615753,465,0.554235,533
0.504865,775,0.503412,652,0.65196,708,0.700791,586,0.75026,541,0.774999,527,0.628068,475,0.56532,543
0.504972,775,0.503489,652,0.652011,703,0.70082,586,0.75028,541,0.775015,527,0.640383,485,0.576404,555
0.505079,775,0.503566,652,0.652062,694,0.700849,586,0.7503,541,0.77503,528,0.652698,492,0.587489,566
0.505186,775,0.503643,653,0.652113,681,0.700879,586,0.750321,541,0.775046,528,0.665013,500,0.598574,575
0.505292,775,0.50372,654,0.652164,660,0.700908,586,0.750341,541,0.775061,528,0.677328,508,0.609658,585
0.505399,775,0.503797,655,0.652215,631,0.700937,586,0.750361,541,0.775076,528,0.689643,519,0.620743,597
0.505506,776,0.503874,656,0.652266,589,0.700966,586,0.750381,541,0.775092,528,0.701958,529,0.631828,610
0.505613,776,0.503951,657,0.652318,532,0.700995,585,0.750402,542,0.775107,528,0.714273,540,0.642912,620
0.50572,778,0.504028,657,0.652369,457,0.701024,585,0.750422,542,0.775122,528,0.726588,547,0.653997,628
0.505827,779,0.504105,658,0.65242,365,0.701054,585,0.750442,542,0.775138,528,0.738903,555,0.665082,637
0.505934,779,0.504182,658,0.652471,254,0.701083,585,0.750462,542,0.775153,528,0.749999,567,0.676166,650
0.506041,779,0.504259,659,0.652522,127,0.701112,585,0.750482,541,0.775168,528,0.750011,567,0.687251,665
0.506147,779,0.504336,659,0.652573,-14,0.701141,586,0.750503,541,0.775184,528,0.750024,567,0.698336,674
0.506254,780,0.504413,660,,,0.70117,586,0.750523,541,0.775199,528,0.750036,567,0.709421,682
0.506361,781,0.50449,660,,,0.7012,586,0.750543,541,0.775215,528,0.750048,567,0.720505,692
0.506468,782,0.504567,660,,,0.701229,586,0.750563,541,0.77523,528,0.750061,567,0.73159,705
0.506575,781,0.504644,660,,,0.701258,586,0.750584,541,0.775245,528,0.750073,567,0.742675,719
0.506682,780,0.504721,660,,,0.701287,586,0.750604,541,0.775261,528,0.750085,567,0.750002,724
0.506789,780,0.504798,659,,,0.701316,586,0.750624,541,0.775276,528,0.750098,567,0.750013,724
0.506895,781,0.504875,659,,,0.701346,586,0.750644,541,0.775291,528,0.75011,567,0.750024,724
0.507002,782,0.504952,659,,,0.701375,586,0.750665,541,0.775307,528,0.750122,567,0.750035,724
0.507109,782,0.505029,659,,,0.701404,586,0.750685,541,0.775322,529,0.750134,567,0.750046,724
0.507216,782,0.505106,660,,,0.701433,586,0.750705,542,0.775337,529,0.750147,567,0.750057,724
0.507323,782,0.505184,660,,,0.701462,586,0.750725,542,0.775353,529,0.750159,567,0.750068,724
