Dx5,Fx5,Dx4,Fx4,Dx3,Fx3,Dx2,Fx2,Dx1.5,Fx1.5,Dx1.25,Fx1.25,Dx1.2,Fx1.2,Dx1.18,Fx1.18,Dx1,Fx1,Dx0.875,Fx0.875,DxAbq,FxAbq
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.106872,164,0.0770332,104,0.051078,56,0.0291838,25,0.0202472,14,0.0161943,14,0.0153633,12,0.0149307,7,0.0123151,10,0.0110847,12,0.100002,61
0.213745,326,0.154066,202,0.102156,112,0.0583676,45,0.0404944,28,0.0323886,27,0.0307265,21,0.0298615,18,0.0246301,21,0.0221694,24,0.200003,122
0.320617,493,0.2311,300,0.153234,165,0.0875515,75,0.0607416,45,0.0485829,41,0.0460898,32,0.0447922,30,0.0369452,31,0.0332541,32,0.299994,182
0.427489,659,0.308133,400,0.204312,225,0.116735,93,0.0809888,56,0.0647771,56,0.061453,42,0.059723,32,0.0492602,36,0.0443388,40,0.400007,242
0.534362,823,0.385166,502,0.25539,278,0.145919,122,0.101236,73,0.0809714,71,0.0768163,53,0.0746537,46,0.0615753,44,0.0554235,53,0.5,302
0.641234,992,0.462199,604,0.306468,337,0.175103,144,0.121483,86,0.0971657,86,0.0921795,61,0.0895844,54,0.0738903,53,0.0665082,67,0.599987,362
0.748106,1155,0.539232,701,0.357546,391,0.204287,170,0.14173,103,0.11336,98,0.107543,75,0.104515,62,0.0862054,63,0.0775929,77,0.699992,422
0.849956,1315,0.616265,806,0.408624,448,0.233471,194,0.161978,115,0.129554,114,0.122906,80,0.119446,69,0.0985204,72,0.0886776,85,0.800013,481
,,0.693299,906,0.459702,503,0.262654,218,0.182225,129,0.145749,125,0.138269,95,0.134377,84,0.110835,84,0.0997623,93,0.900016,540
,,0.770332,1008,0.51078,560,0.291838,244,0.202472,147,0.161943,140,0.153633,104,0.149307,87,0.123151,94,0.110847,104,1,599
,,0.847365,1113,0.561858,614,0.321022,268,0.222719,159,0.178137,153,0.168996,112,0.164238,97,0.135466,103,0.121932,115,1.04403,624
,,0.849984,1108,0.612936,674,0.350206,292,0.242966,175,0.194331,170,0.184359,127,0.179169,109,0.147781,109,0.133016,128,1.04403,0
,,,,0.664014,727,0.37939,314,0.263214,189,0.210526,183,0.199722,134,0.1941,116,0.160096,118,0.144101,139,,
,,,,0.715092,786,0.408573,341,0.283461,205,0.22672,199,0.215086,148,0.20903,124,0.172411,126,0.155186,148,,
,,,,0.76617,843,0.437757,362,0.303708,216,0.242914,212,0.230449,158,0.223961,133,0.184726,137,0.16627,158,,
,,,,0.817249,894,0.466941,389,0.323955,236,0.259109,228,0.245812,166,0.238892,146,0.197041,146,0.177355,170,,
,,,,0.84999,933,0.496125,410,0.344202,248,0.275303,240,0.261175,179,0.253823,150,0.209356,158,0.18844,180,,
,,,,0.850041,933,0.525309,438,0.364449,262,0.291497,253,0.276539,188,0.268753,160,0.221671,167,0.199525,192,,
,,,,,,0.554493,460,0.384697,279,0.307691,268,0.291902,196,0.283684,170,0.233986,177,0.210609,203,,
,,,,,,0.583676,487,0.404944,292,0.323886,280,0.307265,209,0.298615,180,0.246301,184,0.221694,215,,
,,,,,,0.61286,509,0.425191,310,0.34008,296,0.322628,217,0.313546,187,0.258616,192,0.232779,223,,
,,,,,,0.642044,536,0.445438,320,0.356274,309,0.337992,230,0.328476,197,0.270931,202,0.243863,234,,
,,,,,,0.671228,559,0.465685,336,0.372469,325,0.353355,238,0.343407,205,0.283246,213,0.254948,245,,
,,,,,,0.700412,585,0.485933,351,0.388663,339,0.368718,250,0.358338,214,0.295561,221,0.266033,256,,
,,,,,,0.729595,608,0.50618,368,0.404857,354,0.384081,262,0.373268,224,0.307876,230,0.277117,267,,
,,,,,,0.758779,634,0.526427,379,0.421051,367,0.399445,272,0.388199,232,0.320191,240,0.288202,275,,
,,,,,,0.787963,656,0.546674,394,0.437246,380,0.414808,283,0.40313,242,0.332506,251,0.299287,284,,
,,,,,,0.817147,682,0.566921,409,0.45344,392,0.430171,292,0.418061,249,0.344821,258,0.310371,295,,
,,,,,,0.846331,707,0.587169,427,0.469634,406,0.445534,304,0.432991,261,0.357137,268,0.321456,309,,
,,,,,,0.850008,712,0.607416,439,0.485829,420,0.460898,313,0.447922,266,0.369452,278,0.332541,322,,
,,,,,,,,0.627663,452,0.502023,433,0.476261,322,0.462853,279,0.381767,287,0.343626,332,,
,,,,,,,,0.64791,470,0.518217,448,0.491624,335,0.477784,285,0.394082,293,0.35471,339,,
,,,,,,,,0.668157,482,0.534411,463,0.506987,343,0.492714,297,0.406397,304,0.365795,350,,
,,,,,,,,0.688405,499,0.550606,478,0.522351,355,0.507645,303,0.418712,314,0.37688,363,,
,,,,,,,,0.708652,511,0.5668,490,0.537714,366,0.522576,314,0.431027,326,0.387964,375,,
,,,,,,,,0.728899,530,0.582994,504,0.553077,377,0.537507,322,0.443342,335,0.399049,383,,
,,,,,,,,0.749146,541,0.599189,516,0.56844,388,0.552437,333,0.455657,344,0.410134,392,,
,,,,,,,,0.769393,557,0.615383,530,0.583804,398,0.567368,340,0.467972,352,0.421218,401,,
