DxLPS,FxLPS,DxPALS,FxPALS,DxCP,FxCP,DxAbq,FxAbq
0,0,0,0,0,0,0,0
0.0197507,14,0.0197507,13,0.0197507,12,0.0999991,61
0.0395014,30,0.0395014,25,0.0395014,26,0.199998,122
0.0592521,44,0.0592521,38,0.0592521,36,0.3,182
0.0790028,56,0.0790028,49,0.0790028,49,0.399996,242
0.0987535,72,0.0987535,59,0.0987535,59,0.5,302
0.118504,87,0.118504,71,0.118504,71,0.6,362
0.138255,101,0.138255,83,0.138255,83,0.700007,422
0.158006,116,0.158006,96,0.158006,92,0.799992,481
0.177756,130,0.177756,108,0.177756,106,0.900008,540
0.197507,145,0.197507,119,0.197507,116,1,599
0.217258,159,0.217258,133,0.217258,130,1.04427,625
0.237008,174,0.237008,143,0.237008,141,1.04427,623
0.256759,188,0.256759,156,0.256759,153,1.04427,0
0.27651,204,0.27651,167,0.27651,166,,
0.296261,218,0.296261,177,0.296261,177,,
0.316011,229,0.316011,191,0.316011,190,,
0.335762,248,0.335762,203,0.335762,201,,
0.355513,262,0.355513,219,0.355513,214,,
0.375263,275,0.375263,228,0.375263,224,,
0.395014,289,0.395014,242,0.395014,237,,
0.414765,307,0.414765,253,0.414765,248,,
0.434515,319,0.434515,263,0.434515,261,,
0.454266,335,0.454266,276,0.454266,272,,
0.474017,348,0.474017,285,0.474017,284,,
0.493768,367,0.493768,298,0.493768,296,,
0.513518,377,0.513518,310,0.513518,307,,
