xindex  x       yindex  y       z
0       0.2     0       0.5     16.2947395
0       0.2     1       0.625   0
0       0.2     2       0.75    8.2508516
0       0.2     3       0.875   19.2056698
0       0.2     4       1       10.6953107
0       0.2     5       1.25    21.1759933
0       0.2     6       1.5     22.9860095
0       0.2     7       2       39.6827922
0       0.2     8       3       76.3814595
0       0.2     9       4       106.5151277
0       0.2     10      5       152.5018318
1       0.25    0       0.5     1000
1       0.25    1       0.625   11.0382582
1       0.25    2       0.75    1.898089
1       0.25    3       0.875   25.8176153
1       0.25    4       1       17.6216381
1       0.25    5       1.25    16.2604973
1       0.25    6       1.5     21.334736
1       0.25    7       2       38.5622151
1       0.25    8       3       76.1095608
1       0.25    9       4       107.4702947
1       0.25    10      5       153.4235978
2       0.33    0       0.5     1000
2       0.33    1       0.625   1000
2       0.33    2       0.75    44.273756
2       0.33    3       0.875   15.8372338
2       0.33    4       1       4.2871854
2       0.33    5       1.25    11.2950256
2       0.33    6       1.5     34.6911891
2       0.33    7       2       34.5834993
2       0.33    8       3       74.9394918
2       0.33    9       4       107.7372931
2       0.33    10      5       151.7203425
3       0.4     0       0.5     1000
3       0.4     1       0.625   1000
3       0.4     2       0.75    1000
3       0.4     3       0.875   53.57902
3       0.4     4       1       20.4412013
3       0.4     5       1.25    0
3       0.4     6       1.5     18.5199538
3       0.4     7       2       34.9735883
3       0.4     8       3       80.1777678
3       0.4     9       4       116.8938566
3       0.4     10      5       150.9358782
4       0.5     0       0.5     1000
4       0.5     1       0.625   1000
4       0.5     2       0.75    1000
4       0.5     3       0.875   1000
4       0.5     4       1       1000
4       0.5     5       1.25    23.3543768
4       0.5     6       1.5     19.404983
4       0.5     7       2       42.7617707
4       0.5     8       3       77.8152673
4       0.5     9       4       109.9161752
4       0.5     10      5       149.5492174
5       0.67    0       0.5     1000
5       0.67    1       0.625   1000
5       0.67    2       0.75    1000
5       0.67    3       0.875   1000
5       0.67    4       1       1000
5       0.67    5       1.25    1000
5       0.67    6       1.5     60.5852081
5       0.67    7       2       30.8065161
5       0.67    8       3       86.8696904
5       0.67    9       4       119.8060386
5       0.67    10      5       153.2160985
