Dx0.67,Fx0.67,Dx0.5,Fx0.5,Dx0.4,Fx0.4,Dx0.33,Fx0.33,Dx0.25,Fx0.25,Dx0.2,Fx0.2,DxAbq,FxAbq
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0294539,25,0.0197507,14,0.0153633,12,0.0125249,8,0.00908143,6,0.00788234,5,0.100002,61
0.0589079,43,0.0395014,30,0.0307265,21,0.0250498,17,0.0181629,11,0.0157647,10,0.200003,122
0.0883618,70,0.0592521,44,0.0460898,32,0.0375747,26,0.0272443,17,0.023647,12,0.299994,182
0.117816,95,0.0790028,56,0.061453,42,0.0500996,33,0.0363257,22,0.0315293,20,0.400007,242
0.14727,113,0.0987535,72,0.0768163,53,0.0626245,40,0.0454072,28,0.0394117,25,0.5,302
0.176724,138,0.118504,87,0.0921795,61,0.0751494,50,0.0544886,35,0.047294,26,0.599987,362
0.206177,163,0.138255,101,0.107543,75,0.0876743,55,0.06357,41,0.0551764,34,0.699992,422
0.235631,182,0.158006,116,0.122906,80,0.100199,64,0.0726514,49,0.0630587,38,0.800013,481
0.265085,207,0.177756,130,0.138269,95,0.112724,70,0.0817329,52,0.070941,44,0.900016,540
0.294539,229,0.197507,145,0.153633,104,0.125249,79,0.0908143,56,0.0788234,45,1,599
0.323993,249,0.217258,159,0.168996,112,0.137774,88,0.0998957,62,0.0867057,53,1.04403,624
0.353447,275,0.237008,174,0.184359,127,0.150299,93,0.108977,68,0.094588,57,1.04403,0
0.382901,298,0.256759,188,0.199722,134,0.162824,103,0.118059,77,0.10247,62,,
0.412355,320,0.27651,204,0.215086,148,0.175349,112,0.12714,81,0.110353,65,,
0.441809,347,0.296261,218,0.230449,158,0.187874,118,0.136221,87,0.118235,73,,
0.471263,368,0.316011,229,0.245812,166,0.200399,127,0.145303,93,0.126117,75,,
0.500717,390,0.335762,248,0.261175,179,0.212923,136,0.154384,97,0.134,80,,
0.530171,412,0.355513,262,0.276539,188,0.225448,146,0.163466,106,0.141882,85,,
0.559625,435,0.375263,275,0.291902,196,0.237973,153,0.172547,110,0.149764,90,,
0.589079,459,0.395014,289,0.307265,209,0.250498,162,0.181629,116,0.157647,97,,
0.618532,485,0.414765,307,0.322628,217,0.263023,171,0.19071,121,0.165529,96,,
0.647986,505,0.434515,319,0.337992,230,0.275548,178,0.199791,125,0.173411,107,,
0.67744,532,0.454266,335,0.353355,238,0.288073,186,0.208873,132,0.181294,108,,
0.706894,553,0.474017,348,0.368718,250,0.300598,192,0.217954,139,0.189176,112,,
0.736348,574,0.493768,367,0.384081,262,0.313123,201,0.227036,146,0.197058,118,,
0.765802,599,0.513518,377,0.399445,272,0.325648,208,0.236117,152,0.204941,125,,
0.795256,622,0.533269,392,0.414808,283,0.338172,215,0.245199,156,0.212823,129,,
0.82471,645,0.55302,408,0.430171,292,0.350697,225,0.25428,162,0.220705,133,,
0.850011,661,0.57277,421,0.445534,304,0.363222,233,0.263361,166,0.228588,138,,
,,0.592521,436,0.460898,313,0.375747,241,0.272443,174,0.23647,145,,
,,0.612272,450,0.476261,322,0.388272,249,0.281524,180,0.244352,146,,
,,0.632022,466,0.491624,335,0.400797,259,0.290606,185,0.252235,151,,
,,0.651773,481,0.506987,343,0.413322,267,0.299687,191,0.260117,158,,
