DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0,0,0,0,0,0,0,0
0.00661927,3,0.00655337,3,0.00582522,2,0.00582522,2
0.0132385,8,0.0131067,7,0.0116504,6,0.0116504,6
0.0198578,12,0.0196601,12,0.0174757,9,0.0174757,9
0.0264771,16,0.0262135,15,0.0233009,15,0.0233009,15
0.0330964,20,0.0327669,19,0.0291261,16,0.0291261,16
0.0397156,23,0.0393202,23,0.0349513,22,0.0349513,22
0.0463349,29,0.0458736,28,0.0407765,25,0.0407765,25
0.0529542,33,0.052427,31,0.0466018,28,0.0466018,28
0.0595735,37,0.0589803,34,0.052427,31,0.052427,31
0.0661927,41,0.0655337,38,0.0582522,33,0.0582522,33
0.072812,45,0.0720871,42,0.0640774,37,0.0640774,37
0.0794313,47,0.0786405,46,0.0699026,39,0.0699026,39
0.0860506,53,0.0851938,50,0.0757278,44,0.0757278,44
0.0926698,56,0.0917472,55,0.0815531,46,0.0815531,46
0.0992891,59,0.0983006,59,0.0873783,53,0.0873783,53
0.105908,62,0.104854,63,0.0932035,58,0.0932035,58
0.112528,68,0.111407,65,0.0990287,59,0.0990287,59
0.119147,71,0.117961,69,0.104854,63,0.104854,63
0.125766,77,0.124514,73,0.110679,64,0.110679,64
0.132385,79,0.131067,77,0.116504,69,0.116504,69
0.139005,83,0.137621,81,0.12233,71,0.12233,71
0.145624,87,0.144174,86,0.128155,73,0.128155,73
0.152243,91,0.150728,90,0.13398,76,0.13398,76
0.158863,94,0.157281,94,0.139805,83,0.139805,83
0.165482,97,0.163834,97,0.14563,87,0.14563,87
0.172101,101,0.170388,100,0.151456,89,0.151456,89
0.17872,104,0.176941,105,0.157281,94,0.157281,94
0.18534,110,0.183494,108,0.163106,98,0.163106,98
0.191959,112,0.190048,112,0.168931,100,0.168931,100
0.198578,116,0.196601,115,0.174757,103,0.174757,103
0.205197,121,0.203155,121,0.180582,104,0.180582,104
0.211817,125,0.209708,125,0.186407,108,0.186407,108
0.218436,130,0.216261,128,0.192232,113,0.192232,113
0.225055,134,0.222815,132,0.198057,116,0.198057,116
0.231675,137,0.229368,136,0.203883,118,0.203883,118
0.238294,140,0.235921,139,0.209708,125,0.209708,125
0.244913,145,0.242475,143,0.215533,128,0.215533,128
0.251532,149,0.249028,146,0.221358,132,0.221358,132
0.258152,153,0.255581,150,0.227184,135,0.227184,135
0.264771,157,0.262135,155,0.233009,136,0.233009,136
0.27139,159,0.268688,159,0.238834,140,0.238834,140
0.278009,165,0.275242,163,0.244659,143,0.244659,143
0.284629,169,0.281795,166,0.250484,146,0.250484,146
