Dx1.5,Fx1.5,Dx1,Fx1,Dx0.5625,Fx0.5625
0,0,0,0,0.00661927,3
0.0199579,15,0.0121646,10,0.0132385,8
0.0399159,33,0.0243293,19,0.0198578,12
0.0598738,45,0.0364939,28,0.0264771,16
0.0798318,65,0.0486585,35,0.0330964,20
0.0997897,77,0.0608232,43,0.0397156,23
0.119748,95,0.0729878,51,0.0463349,29
0.139706,110,0.0851524,60,0.0529542,33
0.159664,126,0.097317,69,0.0595735,37
0.179621,143,0.109482,80,0.0661927,41
0.199579,157,0.121646,90,0.072812,45
0.219537,176,0.133811,100,0.0794313,47
0.239495,189,0.145976,110,0.0860506,53
0.259453,206,0.15814,119,0.0926698,56
0.279411,221,0.170305,128,0.0992891,59
0.299369,234,0.182469,133,0.105908,62
0.319327,253,0.194634,143,0.112528,68
0.339285,266,0.206799,150,0.119147,71
0.359243,284,0.218963,159,0.125766,77
0.379201,299,0.231128,168,0.132385,79
0.399159,315,0.243293,181,0.139005,83
0.419117,330,0.255457,188,0.145624,87
0.439075,344,0.267622,198,0.152243,91
0.459033,363,0.279787,207,0.158863,94
0.478991,376,0.291951,213,0.165482,97
0.498948,395,0.304116,220,0.172101,101
0.518906,409,0.31628,231,0.17872,104
0.538864,424,0.328445,240,0.18534,110
0.558822,442,0.34061,249,0.191959,112
0.57878,455,0.352774,259,0.198578,116
0.598738,475,0.364939,271,0.205197,121
0.618696,490,0.377104,279,0.211817,125
0.638654,506,0.389268,289,0.218436,130
0.658612,523,0.401433,296,0.225055,134
0.67857,537,0.413597,304,0.231675,137
0.698528,555,0.425762,312,0.238294,140
0.718486,567,0.437927,321,0.244913,145
0.738444,586,0.450091,332,0.251532,149
0.749999,594,0.462256,343,0.258152,153
0.750019,594,0.474421,351,0.264771,157
0.750039,594,0.486585,360,0.27139,159
0.750059,593,0.49875,369,0.278009,165
0.750079,593,0.510914,377,0.284629,169
0.750099,593,0.523079,384,0.291248,174
0.750119,593,0.535244,393,0.297867,178
0.750139,593,0.547408,402,0.304487,182
0.750159,592,0.559573,412,0.311106,185
0.750179,592,0.571738,421,0.317725,190
0.750199,592,0.583902,432,0.324344,195
0.750219,592,0.596067,441,0.330964,197
0.750239,592,0.608232,449,0.337583,201
0.750259,592,0.620396,454,0.344202,205
0.750279,592,0.632561,465,0.350822,209
0.750299,592,0.644725,473,0.357441,212
0.750319,592,0.65689,483,0.36406,217
0.750339,592,0.669055,492,0.370679,219
0.750359,592,0.681219,503,0.377299,222
0.750379,592,0.693384,513,0.383918,227
0.750399,592,0.705549,522,0.390537,231
0.750419,592,0.717713,528,0.397156,235
0.750438,592,0.729878,538,0.403776,239
0.750458,592,0.742042,546,0.410395,242
0.750478,592,0.754207,555,0.417014,246
0.750498,593,0.766372,566,0.423634,250
0.750518,593,0.778536,576,0.430253,254
0.750538,593,0.790701,586,0.436872,257
0.750558,593,0.802866,595,0.443491,262
0.750578,593,0.81503,602,0.450111,263
0.750598,594,0.827195,611,0.45673,268
0.750618,594,0.83936,619,0.463349,273
0.750638,594,0.849991,628,0.469968,278
0.750658,594,0.850004,628,0.476588,280
0.750678,594,0.850016,628,0.483207,284
0.750698,594,0.850028,628,0.489826,290
0.750718,594,0.85004,628,0.496446,295
0.750738,594,0.850052,628,0.503065,300
0.750758,594,0.850064,627,0.509684,304
0.750778,594,0.850077,627,0.516303,307
0.750798,594,0.850089,627,0.522923,312
0.750818,594,0.850101,627,0.529542,316
0.750838,594,0.850113,627,0.536161,321
0.750858,594,0.850125,627,0.54278,325
0.750878,594,0.850137,627,0.5494,328
0.750897,594,0.85015,627,0.556019,332
0.750917,594,0.850162,627,0.562638,335
0.750937,594,0.850174,627,0.569258,340
0.750957,593,0.850186,627,0.575877,343
0.750977,593,0.850198,627,0.582496,348
0.750997,593,0.85021,627,0.589115,351
0.751017,594,0.850223,627,0.595735,355
0.751037,594,0.850235,627,0.602354,358
0.751057,594,0.850247,627,0.608973,363
0.751077,594,0.850259,627,0.615592,367
0.751097,594,0.850271,627,0.622212,371
0.751117,594,0.850283,627,0.628831,373
0.751137,594,0.850296,627,0.63545,378
0.751157,594,0.850308,627,0.64207,382
0.751177,594,0.85032,627,0.648689,385
0.751197,593,0.850332,627,0.655308,390
0.751217,593,0.850344,627,0.661927,393
0.751237,593,0.850356,627,0.668547,397
0.751257,593,0.850369,627,0.675166,400
0.751277,593,0.850381,627,0.681785,405
0.751297,593,0.850393,627,0.688404,408
