Dx1.5,Fx1.5,Dx1,Fx1,Dx0.5625,Fx0.5625
0,0,0,0,0.00661927,3
0.0199579,15,0.0121646,10,0.0132385,8
0.0399159,33,0.0243293,19,0.0198578,12
0.0598738,45,0.0364939,28,0.0264771,16
0.0798318,65,0.0486585,35,0.0330964,20
0.0997897,77,0.0608232,43,0.0397156,23
0.119748,95,0.0729878,51,0.0463349,29
0.139706,110,0.0851524,60,0.0529542,33
0.159664,126,0.097317,69,0.0595735,37
0.179621,143,0.109482,80,0.0661927,41
0.199579,157,0.121646,90,0.072812,45
0.219537,176,0.133811,100,0.0794313,47
0.239495,189,0.145976,110,0.0860506,53
0.259453,206,0.15814,119,0.0926698,56
0.279411,221,0.170305,128,0.0992891,59
0.299369,234,0.182469,133,0.105908,62
0.319327,253,0.194634,143,0.112528,68
0.339285,266,0.206799,150,0.119147,71
0.359243,284,0.218963,159,0.125766,77
0.379201,299,0.231128,168,0.132385,79
0.399159,315,0.243293,181,0.139005,83
0.419117,330,0.255457,188,0.145624,87
0.439075,344,0.267622,198,0.152243,91
0.459033,363,0.279787,207,0.158863,94
0.478991,376,0.291951,213,0.165482,97
0.498948,395,0.304116,220,0.172101,101
0.518906,409,0.31628,231,0.17872,104
0.538864,424,0.328445,240,0.18534,110
0.558822,442,0.34061,249,0.191959,112
0.57878,455,0.352774,259,0.198578,116
0.598738,475,0.364939,271,0.205197,121
0.618696,490,0.377104,279,0.211817,125
0.638654,506,0.389268,289,0.218436,130
0.658612,523,0.401433,296,0.225055,134
0.67857,537,0.413597,304,0.231675,137
0.698528,555,0.425762,312,0.238294,140
0.718486,567,0.437927,321,0.244913,145
0.738444,586,0.450091,332,0.251532,149
0.757504,598,0.462256,343,0.258152,153
0.777501,615,0.474421,351,0.264771,157
0.777521,615,0.486585,360,0.27139,159
0.777541,615,0.49875,369,0.278009,165
0.777561,615,0.510914,377,0.284629,169
0.777581,614,0.523079,384,0.291248,174
0.777601,614,0.535244,393,0.297867,178
0.777621,614,0.547408,402,0.304487,182
0.777641,614,0.559573,412,0.311106,185
0.777661,614,0.571738,421,0.317725,190
0.777681,614,0.583902,432,0.324344,195
0.777701,614,0.596067,441,0.330964,197
0.777721,614,0.608232,449,0.337583,201
0.777741,614,0.620396,454,0.344202,205
0.777761,615,0.632561,465,0.350822,209
0.777781,615,0.644725,473,0.357441,212
0.777801,615,0.65689,483,0.36406,217
0.777821,615,0.669055,492,0.370679,219
0.777841,616,0.681219,503,0.377299,222
0.777861,616,0.693384,513,0.383918,227
0.777881,616,0.705549,522,0.390537,231
0.777901,616,0.717713,528,0.397156,235
0.777921,617,0.729878,538,0.403776,239
0.777941,617,0.742042,546,0.410395,242
0.77796,617,0.754207,555,0.417014,246
0.77798,617,0.766372,566,0.423634,250
0.778,617,0.778536,576,0.430253,254
0.77802,617,0.790701,586,0.436872,257
0.77804,617,0.802866,595,0.443491,262
0.77806,616,0.81503,602,0.450111,263
0.77808,616,0.827195,611,0.45673,268
0.7781,616,0.83936,619,0.463349,273
0.77812,616,0.850502,627,0.469968,278
0.77814,616,0.862509,636,0.476588,280
0.77816,616,0.874503,644,0.483207,284
0.77818,616,0.88651,655,0.489826,290
0.7782,616,0.898504,663,0.496446,295
0.77822,616,0.91051,671,0.503065,300
0.77824,616,0.910523,671,0.509684,304
0.77826,616,0.910535,671,0.516303,307
0.77828,616,0.910547,671,0.522923,312
0.7783,617,0.910559,670,0.529542,316
0.77832,617,0.910571,670,0.536161,321
0.77834,617,0.910583,670,0.54278,325
0.77836,617,0.910596,670,0.5494,328
0.77838,617,0.910608,670,0.556019,332
0.7784,617,0.91062,671,0.562638,335
0.778419,617,0.910632,671,0.569258,340
0.778439,617,0.910644,671,0.575877,343
0.778459,617,0.910656,671,0.582496,348
0.778479,617,0.910669,672,0.589115,351
0.778499,617,0.910681,672,0.595735,355
0.778519,617,0.910693,672,0.602354,358
0.778539,617,0.910705,672,0.608973,363
0.778559,617,0.910717,672,0.615592,367
0.778579,617,0.910729,672,0.622212,371
0.778599,617,0.910742,672,0.628831,373
0.778619,617,0.910754,672,0.63545,378
0.778639,617,0.910766,672,0.64207,382
0.778659,616,0.910778,672,0.648689,385
0.778679,616,0.91079,672,0.655308,390
0.778699,616,0.910802,672,0.661927,393
0.778719,616,0.910815,672,0.668547,397
0.778739,616,0.910827,672,0.675166,400
0.778759,616,0.910839,672,0.681785,405
0.778779,616,0.910851,672,0.688404,408
