xindex  x       yindex  y       z
0       0.4     0       0.45    0
0       0.4     1       0.5625  7.3801865
0       0.4     2       0.75    15.9690451
0       0.4     3       1       21.5180787
0       0.4     4       1.2     21.4326056
0       0.4     5       1.5     24.4937078
0       0.4     6       2       43.0478747
0       0.4     7       3       80.8433093
0       0.4     8       4       115.6953899
1       0.5     0       0.45    1000
1       0.5     1       0.5625  0
1       0.5     2       0.75    9.8469741
1       0.5     3       1       17.7110863
1       0.5     4       1.2     24.17915
1       0.5     5       1.5     26.0444069
1       0.5     6       2       43.969429
1       0.5     7       3       83.5325467
1       0.5     8       4       116.837721
2       0.67    0       0.45    1000
2       0.67    1       0.5625  1000
2       0.67    2       0.75    5.8433038
2       0.67    3       1       19.0021736
2       0.67    4       1.2     19.0021736
2       0.67    5       1.5     26.3374034
2       0.67    6       2       44.4113922
2       0.67    7       3       86.8718776
2       0.67    8       4       116.8746469
