Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,External_Displacement:0,External_Displacement:1,External_Displacement:2,Time,vtkOriginalIndices,__vtkIsSelected__
0,0,0,0,0,0,0,0,0
1.13311e-007,-0.155864,5.99673e-020,-4.6662e-009,1.26712e-008,-6.19718e-010,3.16779e-006,1,0
-5.89667e-005,-0.134275,6.94416e-014,-1.07261e-008,2.53423e-008,-9.70127e-010,6.33558e-006,2,0
0.000170566,-0.10598,1.51384e-013,-1.69646e-008,3.80135e-008,-9.96837e-010,9.50337e-006,3,0
0.00346283,-0.0738956,3.73225e-013,-2.4282e-008,5.06847e-008,-1.1975e-009,1.26712e-005,4,0
0.0051115,-0.0434394,-1.52936e-012,-3.28582e-008,6.33558e-008,-1.70227e-009,1.5839e-005,5,0
0.00143023,-0.0821121,-1.17744e-012,-4.06188e-008,7.6027e-008,-2.23842e-009,1.90067e-005,6,0
-0.00374969,-0.124947,5.05616e-013,-4.41908e-008,8.86982e-008,-2.45862e-009,2.21745e-005,7,0
-0.0030761,-0.148625,1.55276e-012,-4.65622e-008,1.01369e-007,-2.70336e-009,2.53423e-005,8,0
-0.00332929,-0.187169,2.27341e-013,-4.9717e-008,1.1404e-007,-3.32662e-009,2.85101e-005,9,0
0.000603412,-0.245288,4.36575e-012,-5.35986e-008,1.26712e-007,-3.24522e-009,3.16779e-005,10,0
0.00124128,-0.262792,1.04361e-012,-6.09597e-008,1.39383e-007,-4.0215e-009,3.48457e-005,11,0
-0.000821958,-0.283049,-4.55608e-012,-7.1026e-008,1.52054e-007,-3.87493e-009,3.80135e-005,12,0
-0.00169238,-0.291564,-4.42123e-012,-7.76063e-008,1.64725e-007,-4.8966e-009,4.11813e-005,13,0
0.000665792,-0.298529,-3.73647e-012,-8.39898e-008,1.77396e-007,-4.43761e-009,4.43491e-005,14,0
0.00239637,-0.297177,-5.04546e-012,-9.17949e-008,1.90067e-007,-5.21105e-009,4.75169e-005,15,0
0.0021129,-0.329031,-2.89668e-012,-9.86174e-008,2.02739e-007,-5.13072e-009,5.06847e-005,16,0
0.00104234,-0.362434,-1.82834e-012,-1.02819e-007,2.1541e-007,-5.91207e-009,5.38525e-005,17,0
-0.00106545,-0.385335,1.31887e-012,-1.07286e-007,2.28081e-007,-5.8758e-009,5.70202e-005,18,0
-0.00104535,-0.407087,-9.74118e-013,-1.1097e-007,2.40752e-007,-6.23699e-009,6.0188e-005,19,0
-0.000666555,-0.443507,1.11197e-013,-1.14487e-007,2.53423e-007,-6.26004e-009,6.33558e-005,20,0
0.000942261,-0.461388,-4.76783e-012,-1.20828e-007,2.66094e-007,-6.89379e-009,6.65236e-005,21,0
0.00017065,-0.477855,-7.53858e-013,-1.29617e-007,2.78766e-007,-7.08528e-009,6.96914e-005,22,0
-0.00192754,-0.498738,-2.00738e-012,-1.36107e-007,2.91437e-007,-7.55003e-009,7.28592e-005,23,0
-0.00101877,-0.507197,3.88027e-013,-1.42712e-007,3.04108e-007,-7.57236e-009,7.6027e-005,24,0
-3.20657e-005,-0.516472,-2.20864e-012,-1.49885e-007,3.16779e-007,-8.01135e-009,7.91948e-005,25,0
0.000820694,-0.551736,6.55793e-012,-1.55566e-007,3.2945e-007,-8.37624e-009,8.23626e-005,26,0
0.0011464,-0.585025,5.13321e-012,-1.60608e-007,3.42121e-007,-8.78382e-009,8.55304e-005,27,0
0.00131184,-0.607281,8.58988e-012,-1.66067e-007,3.54793e-007,-9.06424e-009,8.86982e-005,28,0
0.000186895,-0.633776,-1.61152e-012,-1.70279e-007,3.67464e-007,-9.40893e-009,9.1866e-005,29,0
0.000467428,-0.660858,8.27457e-012,-1.74457e-007,3.80135e-007,-9.67089e-009,9.50337e-005,30,0
-0.0013828,-0.672839,-1.82946e-012,-1.81357e-007,3.92806e-007,-1.01604e-008,9.82015e-005,31,0
-0.00259206,-0.687491,8.74862e-012,-1.88874e-007,4.05477e-007,-1.03205e-008,0.000101369,32,0
