Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,External_Displacement:0,External_Displacement:1,External_Displacement:2,Time,vtkOriginalIndices,__vtkIsSelected__
0,0,0,0,0,0,0,0,0
1.85732e-007,-0.153966,-1.82959e-019,-2.42089e-009,1.05692e-008,-4.88825e-010,2.64231e-006,1,0
-2.21982e-005,-0.138839,2.71051e-020,-6.85771e-009,2.11384e-008,-6.53422e-010,5.28461e-006,2,0
-0.000226323,-0.119925,2.43945e-019,-1.152e-008,3.17077e-008,-7.57391e-010,7.92692e-006,3,0
-0.000345672,-0.0994068,-1.41253e-012,-1.6639e-008,4.22769e-008,-6.56093e-010,1.05692e-005,4,0
0.00367431,-0.0781679,5.66891e-013,-2.20731e-008,5.28461e-008,-6.59342e-010,1.32115e-005,5,0
0.00448645,-0.0543055,4.25995e-013,-2.8558e-008,6.34153e-008,-8.52076e-010,1.58538e-005,6,0
0.00202963,-0.0746972,3.49454e-012,-3.58368e-008,7.39846e-008,-1.04882e-009,1.84961e-005,7,0
-0.00229635,-0.107678,-1.25207e-012,-4.00338e-008,8.45538e-008,-1.23896e-009,2.11384e-005,8,0
-0.00430909,-0.131763,-3.1507e-012,-4.34847e-008,9.5123e-008,-1.35043e-009,2.37807e-005,9,0
-0.00175634,-0.157094,-9.93413e-013,-4.59283e-008,1.05692e-007,-1.56092e-009,2.64231e-005,10,0
-0.00192446,-0.192759,-9.59532e-014,-4.90738e-008,1.16261e-007,-1.55806e-009,2.90654e-005,11,0
0.00107869,-0.225354,-1.3127e-012,-5.27512e-008,1.26831e-007,-1.90043e-009,3.17077e-005,12,0
-0.000621884,-0.255277,1.57869e-012,-5.70467e-008,1.374e-007,-2.06927e-009,3.435e-005,13,0
-0.00103328,-0.285132,1.81534e-012,-6.25424e-008,1.47969e-007,-2.15286e-009,3.69923e-005,14,0
-0.000461311,-0.289711,-1.25282e-011,-6.77131e-008,1.58538e-007,-2.31777e-009,3.96346e-005,15,0
0.000539249,-0.29936,7.44222e-012,-7.24321e-008,1.69108e-007,-2.31969e-009,4.22769e-005,16,0
0.00170206,-0.30618,4.00037e-012,-7.74865e-008,1.79677e-007,-2.44449e-009,4.49192e-005,17,0
0.00194267,-0.315275,3.29662e-012,-8.28205e-008,1.90246e-007,-2.60427e-009,4.75615e-005,18,0
0.00220462,-0.322305,-2.39784e-012,-8.88522e-008,2.00815e-007,-2.73282e-009,5.02038e-005,19,0
0.000672649,-0.338636,-1.2854e-012,-9.45529e-008,2.11384e-007,-2.86816e-009,5.28461e-005,20,0
-0.00107164,-0.361072,-3.76155e-012,-9.84677e-008,2.21954e-007,-3.06826e-009,5.54884e-005,21,0
-0.000936175,-0.376082,-6.36676e-012,-1.01892e-007,2.32523e-007,-3.21158e-009,5.81307e-005,22,0
-0.000329059,-0.397878,-1.0916e-011,-1.05426e-007,2.43092e-007,-3.33063e-009,6.0773e-005,23,0
-0.00106423,-0.42277,6.50118e-013,-1.09345e-007,2.53661e-007,-3.52554e-009,6.34153e-005,24,0
0.000313886,-0.448295,1.17338e-012,-1.12986e-007,2.64231e-007,-3.74918e-009,6.60576e-005,25,0
-0.00112897,-0.474471,7.64447e-015,-1.17783e-007,2.748e-007,-3.73574e-009,6.86999e-005,26,0
-0.00133697,-0.496638,3.04873e-011,-1.22236e-007,2.85369e-007,-3.99282e-009,7.13422e-005,27,0
-0.000318512,-0.505835,2.50966e-011,-1.27434e-007,2.95938e-007,-4.10936e-009,7.39846e-005,28,0
-0.000106839,-0.522882,1.76505e-011,-1.3194e-007,3.06507e-007,-4.20167e-009,7.66269e-005,29,0
0.00158856,-0.536136,1.77512e-013,-1.36904e-007,3.17077e-007,-4.39365e-009,7.92692e-005,30,0
0.00236135,-0.549355,-2.16997e-011,-1.42348e-007,3.27646e-007,-4.51364e-009,8.19115e-005,31,0
0.0016841,-0.562022,-7.60524e-012,-1.47981e-007,3.38215e-007,-4.73854e-009,8.45538e-005,32,0
0.00100481,-0.578314,1.30649e-012,-1.52988e-007,3.48784e-007,-4.82853e-009,8.71961e-005,33,0
-0.00154846,-0.59637,-1.13985e-011,-1.5655e-007,3.59354e-007,-5.03031e-009,8.98384e-005,34,0
-0.0028693,-0.614496,-1.70297e-011,-1.60261e-007,3.69923e-007,-5.12097e-009,9.24807e-005,35,0
-0.00387334,-0.633615,2.87973e-011,-1.64815e-007,3.80492e-007,-5.30153e-009,9.5123e-005,36,0
-0.00164116,-0.653437,-6.45034e-012,-1.69397e-007,3.91061e-007,-5.41568e-009,9.77653e-005,37,0
0.00140742,-0.675807,7.55494e-012,-1.73883e-007,4.0163e-007,-5.53475e-009,0.000100408,38,0
0.00486274,-0.698958,5.34193e-012,-1.78556e-007,4.122e-007,-5.69936e-009,0.00010305,39,0
0.00546408,-0.717307,-4.62908e-012,-1.82422e-007,4.22769e-007,-5.86899e-009,0.000105692,40,0
-0.00012182,-0.730825,8.99247e-012,-1.86919e-007,4.33338e-007,-5.93506e-009,0.000108335,41,0
-0.0026497,-0.754165,3.88302e-011,-1.90621e-007,4.43907e-007,-6.20555e-009,0.000110977,42,0
-0.00591967,-0.768909,3.92017e-011,-1.95761e-007,4.54477e-007,-6.39816e-009,0.000113619,43,0
-0.00141781,-0.783887,2.54991e-011,-2.01889e-007,4.65046e-007,-6.47641e-009,0.000116261,44,0
0.000573785,-0.79363,-5.94171e-012,-2.08032e-007,4.75615e-007,-6.67609e-009,0.000118904,45,0
0.0051944,-0.802868,-2.14737e-011,-2.13635e-007,4.86184e-007,-6.65166e-009,0.000121546,46,0
0.00285557,-0.821932,-3.96225e-011,-2.16732e-007,4.96753e-007,-6.87438e-009,0.000124188,47,0
-0.000443404,-0.847715,-3.49591e-011,-2.19661e-007,5.07323e-007,-7.04182e-009,0.000126831,48,0
-0.00368213,-0.876532,-9.14726e-013,-2.23153e-007,5.17892e-007,-7.21265e-009,0.000129473,49,0
-0.00257635,-0.901665,1.91054e-011,-2.26762e-007,5.28461e-007,-7.47632e-009,0.000132115,50,0
0.000621486,-0.912737,-8.7191e-012,-2.32153e-007,5.3903e-007,-7.51069e-009,0.000134758,51,0
0.000497881,-0.918261,1.51563e-011,-2.37604e-007,5.496e-007,-7.61609e-009,0.0001374,52,0
0.00418584,-0.928244,-2.78231e-011,-2.43082e-007,5.60169e-007,-7.744e-009,0.000140042,53,0
0.00609453,-0.950311,-4.52798e-011,-2.48254e-007,5.70738e-007,-7.90277e-009,0.000142684,54,0
-0.00556813,-0.985273,-2.04402e-011,-2.51651e-007,5.81307e-007,-8.19785e-009,0.000145327,55,0
-0.0093796,-1.01715,3.2725e-011,-2.55467e-007,5.91876e-007,-8.3002e-009,0.000147969,56,0
-0.00153233,-1.03765,6.80776e-011,-2.59826e-007,6.02446e-007,-8.50224e-009,0.000150611,57,0
0.00257443,-1.02941,-3.83029e-012,-2.66352e-007,6.13015e-007,-8.56551e-009,0.000153254,58,0
0.00209198,-1.01871,4.70274e-013,-2.72509e-007,6.23584e-007,-8.66696e-009,0.000155896,59,0
0.000349722,-1.02113,-2.39881e-011,-2.78076e-007,6.34153e-007,-8.76795e-009,0.000158538,60,0
0.00397076,-1.04269,-6.9571e-011,-2.8282e-007,6.44723e-007,-8.78806e-009,0.000161181,61,0
0.00192446,-1.08516,-1.08116e-010,-2.85897e-007,6.55292e-007,-9.04376e-009,0.000163823,62,0
0.00284457,-1.16048,-1.00139e-011,-2.86446e-007,6.65861e-007,-9.28543e-009,0.000166465,63,0
0.00618529,-1.21123,4.80809e-011,-2.87796e-007,6.7643e-007,-9.69788e-009,0.000169108,64,0
