Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,External_Displacement:0,External_Displacement:1,External_Displacement:2,Time,vtkOriginalIndices,__vtkIsSelected__
0,0,0,0,0,0,0,0,0
-0.000191526,-0.126604,2.71051e-019,-1.32885e-008,2.43703e-008,-1.47416e-009,6.09257e-006,1,0
0.00272041,-0.076319,-4.60515e-017,-2.62543e-008,4.87406e-008,-1.29081e-009,1.21851e-005,2,0
0.00217834,-0.0502343,2.56902e-014,-4.38102e-008,7.31109e-008,-2.26704e-009,1.82777e-005,3,0
-0.00502467,-0.160568,5.33796e-013,-5.22404e-008,9.74812e-008,-3.09811e-009,2.43703e-005,4,0
0.000642533,-0.222802,5.97783e-013,-6.09773e-008,1.21851e-007,-4.53705e-009,3.04629e-005,5,0
0.000359711,-0.270321,-1.0722e-013,-7.76144e-008,1.46222e-007,-4.97114e-009,3.65554e-005,6,0
-9.2344e-005,-0.28747,1.42259e-014,-9.39526e-008,1.70592e-007,-6.62707e-009,4.2648e-005,7,0
0.00276036,-0.29442,-7.62553e-013,-1.07775e-007,1.94962e-007,-6.40966e-009,4.87406e-005,8,0
-0.00115952,-0.37815,1.55487e-012,-1.18814e-007,2.19333e-007,-6.53734e-009,5.48332e-005,9,0
-0.000817065,-0.409117,1.56043e-012,-1.28274e-007,2.43703e-007,-7.57051e-009,6.09257e-005,10,0
-1.96779e-006,-0.466504,2.73314e-012,-1.41275e-007,2.68073e-007,-7.3269e-009,6.70183e-005,11,0
-0.00029894,-0.479447,3.318e-012,-1.58938e-007,2.92443e-007,-8.42427e-009,7.31109e-005,12,0
-0.000106996,-0.522608,1.68556e-012,-1.71131e-007,3.16814e-007,-9.56786e-009,7.92034e-005,13,0
0.00207286,-0.577046,-1.04793e-012,-1.84041e-007,3.41184e-007,-9.89873e-009,8.5296e-005,14,0
0.000189634,-0.616879,1.23131e-013,-1.94466e-007,3.65554e-007,-1.0889e-008,9.13886e-005,15,0
-0.00456222,-0.670377,7.68513e-013,-2.07443e-007,3.89925e-007,-1.24582e-008,9.74812e-005,16,0
0.00302516,-0.677472,-1.90794e-013,-2.24205e-007,4.14295e-007,-1.22984e-008,0.000103574,17,0
0.0035512,-0.734818,-1.26132e-012,-2.36022e-007,4.38665e-007,-1.19548e-008,0.000109666,18,0
-0.00533448,-0.775201,2.66787e-012,-2.48403e-007,4.63035e-007,-1.14851e-008,0.000115759,19,0
