Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,External_Displacement:0,External_Displacement:1,External_Displacement:2,Time,vtkOriginalIndices,__vtkIsSelected__
0,0,0,0,0,0,0,0,0
8.58806e-009,-0.144393,5.42101e-020,-6.66185e-009,1.45711e-008,-6.95203e-010,3.64279e-006,1,0
-6.94737e-005,-0.113843,0,-1.46543e-008,2.91423e-008,-7.77772e-010,7.28557e-006,2,0
0.00145089,-0.0757654,-3.29321e-015,-2.27544e-008,4.37134e-008,-7.81193e-010,1.09284e-005,3,0
0.00613483,-0.0338498,-2.01094e-013,-3.33795e-008,5.82846e-008,-1.18754e-009,1.45711e-005,4,0
0.00338071,-0.0446086,6.25052e-013,-4.38596e-008,7.28557e-008,-1.52431e-009,1.82139e-005,5,0
-0.00315591,-0.117924,3.37619e-012,-4.85464e-008,8.74268e-008,-2.38666e-009,2.18567e-005,6,0
-0.00402392,-0.135897,2.42626e-012,-4.97295e-008,1.01998e-007,-2.2487e-009,2.54995e-005,7,0
-0.00280546,-0.173699,-1.30509e-012,-5.32094e-008,1.16569e-007,-2.63706e-009,2.91423e-005,8,0
-5.28212e-005,-0.229305,-3.72268e-012,-5.95345e-008,1.3114e-007,-2.8401e-009,3.27851e-005,9,0
0.00264434,-0.237679,-4.44709e-012,-7.08553e-008,1.45711e-007,-2.97947e-009,3.64279e-005,10,0
-0.00122944,-0.240175,-6.08541e-012,-8.34804e-008,1.60283e-007,-3.40494e-009,4.00706e-005,11,0
-0.00255714,-0.239734,-6.55603e-012,-9.15943e-008,1.74854e-007,-3.81256e-009,4.37134e-005,12,0
0.00194066,-0.248208,-1.45247e-012,-9.89475e-008,1.89425e-007,-3.80019e-009,4.73562e-005,13,0
0.00199068,-0.286804,-4.35896e-012,-1.06945e-007,2.03996e-007,-4.54233e-009,5.0999e-005,14,0
0.00112956,-0.338815,1.727e-012,-1.12152e-007,2.18567e-007,-4.52436e-009,5.46418e-005,15,0
0.00106303,-0.353739,3.66974e-012,-1.17333e-007,2.33138e-007,-5.43025e-009,5.82846e-005,16,0
-0.00213053,-0.373921,3.64351e-013,-1.23026e-007,2.47709e-007,-5.49491e-009,6.19273e-005,17,0
-0.000318103,-0.397324,2.46715e-012,-1.3014e-007,2.62281e-007,-5.74829e-009,6.55701e-005,18,0
0.00147895,-0.403242,-3.02138e-012,-1.3987e-007,2.76852e-007,-5.93417e-009,6.92129e-005,19,0
-0.000742237,-0.421574,4.52098e-012,-1.49249e-007,2.91423e-007,-6.37682e-009,7.28557e-005,20,0
-0.00140598,-0.425494,2.77069e-012,-1.57487e-007,3.05994e-007,-6.00861e-009,7.64985e-005,21,0
0.000164537,-0.45541,5.06706e-012,-1.63642e-007,3.20565e-007,-7.13489e-009,8.01413e-005,22,0
-0.00102931,-0.501943,6.72049e-012,-1.69145e-007,3.35136e-007,-6.96915e-009,8.37841e-005,23,0
0.000615775,-0.537292,5.67884e-012,-1.75627e-007,3.49707e-007,-7.90876e-009,8.74268e-005,24,0
0.000695922,-0.55383,3.274e-012,-1.81916e-007,3.64279e-007,-7.87916e-009,9.10696e-005,25,0
0.000212216,-0.566035,6.8034e-013,-1.90591e-007,3.7885e-007,-8.35784e-009,9.47124e-005,26,0
0.00125996,-0.576005,-3.23791e-012,-1.99979e-007,3.93421e-007,-8.48166e-009,9.83552e-005,27,0
0.00107069,-0.590803,3.87579e-012,-2.08565e-007,4.07992e-007,-9.06832e-009,0.000101998,28,0
-0.000617283,-0.605217,-1.20023e-011,-2.16794e-007,4.22563e-007,-9.15007e-009,0.000105641,29,0
-0.000470069,-0.626017,7.7314e-012,-2.2252e-007,4.37134e-007,-9.34304e-009,0.000109284,30,0
-0.0021162,-0.666864,-2.33073e-013,-2.28393e-007,4.51705e-007,-9.98421e-009,0.000112926,31,0
-0.00209321,-0.702718,-1.27976e-011,-2.34768e-007,4.66277e-007,-9.89619e-009,0.000116569,32,0
0.000517973,-0.725768,-2.73326e-012,-2.41795e-007,4.80848e-007,-1.07161e-008,0.000120212,33,0
0.00166151,-0.738117,-1.95473e-011,-2.49242e-007,4.95419e-007,-1.05852e-008,0.000123855,34,0
0.00207324,-0.747175,-7.25179e-012,-2.5849e-007,5.0999e-007,-1.11873e-008,0.000127497,35,0
0.00226513,-0.767119,4.43971e-012,-2.66649e-007,5.24561e-007,-1.14326e-008,0.00013114,36,0
-0.00318528,-0.780979,9.22041e-012,-2.75651e-007,5.39132e-007,-1.18513e-008,0.000134783,37,0
-0.00251246,-0.804487,5.62561e-012,-2.82735e-007,5.53703e-007,-1.21071e-008,0.000138426,38,0
0.000994845,-0.830925,7.43871e-012,-2.88708e-007,5.68274e-007,-1.23534e-008,0.000142069,39,0
0.00146898,-0.882202,-9.35123e-013,-2.94991e-007,5.82846e-007,-1.28932e-008,0.000145711,40,0
0.00316119,-0.915391,-1.05763e-011,-3.00756e-007,5.97417e-007,-1.309e-008,0.000149354,41,0
0.000572718,-0.922534,3.43086e-013,-3.07884e-007,6.11988e-007,-1.35201e-008,0.000152997,42,0
-0.00559126,-0.913011,-6.32598e-012,-3.16414e-007,6.26559e-007,-1.35599e-008,0.00015664,43,0
-0.00337388,-0.903079,1.1e-011,-3.25122e-007,6.4113e-007,-1.4222e-008,0.000160283,44,0
0.000969619,-0.921722,-4.91745e-012,-3.34791e-007,6.55701e-007,-1.40682e-008,0.000163925,45,0
0.0046133,-0.992675,-2.60569e-012,-3.42287e-007,6.70272e-007,-1.46748e-008,0.000167568,46,0
0.00765758,-1.03145,2.22954e-011,-3.47479e-007,6.84844e-007,-1.45149e-008,0.000171211,47,0
-0.00356917,-1.09846,1.20699e-011,-3.52139e-007,6.99415e-007,-1.53811e-008,0.000174854,48,0
-0.0086131,-1.09829,1.28937e-011,-3.5848e-007,7.13986e-007,-1.56797e-008,0.000178496,49,0
