Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,External_Displacement:0,External_Displacement:1,External_Displacement:2,Time,vtkOriginalIndices,__vtkIsSelected__
0,0,0,0,0,0,0,0,0
-0.000191213,-0.126955,5.0822e-020,-1.31823e-008,2.43831e-008,-1.46289e-009,6.09579e-006,1,0
0.00269928,-0.0765477,-1.15514e-019,-2.6093e-008,4.87663e-008,-1.2708e-009,1.21916e-005,2,0
0.00217439,-0.0500835,-3.66802e-015,-4.35045e-008,7.31494e-008,-2.26356e-009,1.82874e-005,3,0
-0.00501586,-0.160507,1.77988e-013,-5.18493e-008,9.75326e-008,-3.13739e-009,2.43831e-005,4,0
0.00055983,-0.222194,1.87157e-013,-6.06758e-008,1.21916e-007,-4.38667e-009,3.04789e-005,5,0
0.000457699,-0.270601,7.01123e-014,-7.69162e-008,1.46299e-007,-4.82795e-009,3.65747e-005,6,0
-0.000192139,-0.28803,-1.06191e-012,-9.35974e-008,1.70682e-007,-6.25465e-009,4.26705e-005,7,0
0.00285247,-0.294115,-7.34892e-013,-1.07601e-007,1.95065e-007,-6.15528e-009,4.87663e-005,8,0
-0.00113628,-0.378551,6.01758e-013,-1.18055e-007,2.19448e-007,-5.94799e-009,5.48621e-005,9,0
-0.000743056,-0.408997,-1.99128e-013,-1.27444e-007,2.43831e-007,-7.25908e-009,6.09579e-005,10,0
6.15259e-005,-0.466749,-1.13137e-012,-1.40226e-007,2.68215e-007,-7.18341e-009,6.70536e-005,11,0
-0.000392444,-0.479801,3.88522e-014,-1.57983e-007,2.92598e-007,-8.69958e-009,7.31494e-005,12,0
0.000111771,-0.52188,-1.2377e-013,-1.70215e-007,3.16981e-007,-1.03149e-008,7.92452e-005,13,0
0.0017482,-0.578443,1.38992e-012,-1.82881e-007,3.41364e-007,-1.03836e-008,8.5341e-005,14,0
0.000105102,-0.615929,1.35812e-013,-1.93349e-007,3.65747e-007,-1.04137e-008,9.14368e-005,15,0
