Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,External_Displacement:0,External_Displacement:1,External_Displacement:2,Time,vtkOriginalIndices,__vtkIsSelected__
0,0,0,0,0,0,0,0,0
-1.38168e-006,-0.143979,3.30343e-020,-3.75963e-009,1.22458e-008,-1.13997e-009,3.06144e-006,1,0
-5.52659e-005,-0.124979,2.03288e-020,-9.17246e-009,2.44915e-008,-1.54171e-009,6.12288e-006,2,0
0.000270429,-0.100218,4.06576e-020,-1.53061e-008,3.67373e-008,-1.74118e-009,9.18431e-006,3,0
0.00430603,-0.0738649,-1.15196e-019,-2.18158e-008,4.8983e-008,-1.8924e-009,1.22458e-005,4,0
0.0059969,-0.0530965,4.5978e-014,-3.02681e-008,6.12288e-008,-2.6918e-009,1.53072e-005,5,0
0.00165538,-0.0871753,7.46119e-014,-3.81028e-008,7.34745e-008,-3.18577e-009,1.83686e-005,6,0
-0.00378396,-0.121063,-4.05575e-013,-4.11251e-008,8.57203e-008,-3.77045e-009,2.14301e-005,7,0
-0.00347772,-0.144028,-9.47145e-013,-4.31877e-008,9.7966e-008,-3.6912e-009,2.44915e-005,8,0
-0.00344005,-0.174928,-1.43846e-012,-4.5555e-008,1.10212e-007,-4.54006e-009,2.75529e-005,9,0
0.000192055,-0.230378,-4.19445e-013,-4.89288e-008,1.22458e-007,-4.5721e-009,3.06144e-005,10,0
0.00042278,-0.261309,2.44467e-013,-5.46035e-008,1.34703e-007,-5.69729e-009,3.36758e-005,11,0
-0.000349783,-0.276882,-3.87075e-014,-6.39355e-008,1.46949e-007,-5.45557e-009,3.67373e-005,12,0
-0.00182748,-0.283275,9.78372e-013,-6.99486e-008,1.59195e-007,-6.51127e-009,3.97987e-005,13,0
0.000151193,-0.293293,4.18867e-013,-7.57796e-008,1.71441e-007,-6.26599e-009,4.28601e-005,14,0
0.0023012,-0.295495,6.90686e-013,-8.29338e-008,1.83686e-007,-7.02643e-009,4.59216e-005,15,0
0.00264794,-0.31767,-7.86692e-013,-9.04766e-008,1.95932e-007,-7.22696e-009,4.8983e-005,16,0
0.00139156,-0.353098,-1.13572e-013,-9.46315e-008,2.08178e-007,-7.96636e-009,5.20444e-005,17,0
-0.000691492,-0.372277,-2.42995e-012,-9.84163e-008,2.20424e-007,-8.01247e-009,5.51059e-005,18,0
-0.000532155,-0.391611,-6.39691e-013,-1.01567e-007,2.32669e-007,-8.54923e-009,5.81673e-005,19,0
-0.00118824,-0.424573,-6.3243e-013,-1.04629e-007,2.44915e-007,-8.85542e-009,6.12288e-005,20,0
0.00119982,-0.453492,6.1359e-013,-1.09512e-007,2.57161e-007,-9.54566e-009,6.42902e-005,21,0
0.000309093,-0.46901,1.72005e-012,-1.16863e-007,2.69407e-007,-9.9408e-009,6.73516e-005,22,0
-0.00216113,-0.488547,9.81543e-013,-1.23619e-007,2.81652e-007,-1.05526e-008,7.04131e-005,23,0
-0.00164332,-0.498292,2.2207e-013,-1.29058e-007,2.93898e-007,-1.08233e-008,7.34745e-005,24,0
-0.00029828,-0.506776,1.4724e-012,-1.35645e-007,3.06144e-007,-1.12355e-008,7.65359e-005,25,0
0.00126736,-0.528837,2.1487e-012,-1.42199e-007,3.1839e-007,-1.19674e-008,7.95974e-005,26,0
0.000657518,-0.564347,7.48661e-013,-1.4705e-007,3.30635e-007,-1.23943e-008,8.26588e-005,27,0
0.000518108,-0.58924,3.7031e-012,-1.51819e-007,3.42881e-007,-1.30129e-008,8.57203e-005,28,0
0.000189104,-0.608541,-7.46086e-013,-1.55821e-007,3.55127e-007,-1.33425e-008,8.87817e-005,29,0
0.000790176,-0.63486,4.31172e-013,-1.59533e-007,3.67373e-007,-1.38595e-008,9.18431e-005,30,0
0.000974745,-0.661357,9.36802e-013,-1.63964e-007,3.79618e-007,-1.44112e-008,9.49046e-005,31,0
-0.00028013,-0.675095,4.33019e-012,-1.71338e-007,3.91864e-007,-1.49236e-008,9.7966e-005,32,0
-0.00257915,-0.69257,1.31535e-012,-1.77553e-007,4.0411e-007,-1.53846e-008,0.000101027,33,0
-0.00371467,-0.706486,5.1052e-013,-1.8354e-007,4.16356e-007,-1.58326e-008,0.000104089,34,0
0.000158982,-0.718652,2.99813e-012,-1.89739e-007,4.28601e-007,-1.61713e-008,0.00010715,35,0
0.00292318,-0.735643,1.10531e-012,-1.96471e-007,4.40847e-007,-1.66908e-008,0.000110212,36,0
0.00562042,-0.770335,1.16173e-012,-2.0096e-007,4.53093e-007,-1.7029e-008,0.000113273,37,0
0.000675023,-0.793946,-5.58509e-012,-2.05256e-007,4.65339e-007,-1.75514e-008,0.000116335,38,0
-0.004063,-0.816707,-1.33579e-012,-2.09766e-007,4.77584e-007,-1.79609e-008,0.000119396,39,0
-0.00463249,-0.845267,-1.20264e-012,-2.13995e-007,4.8983e-007,-1.84283e-008,0.000122458,40,0
-0.000157948,-0.873569,-5.29068e-012,-2.18998e-007,5.02076e-007,-1.88743e-008,0.000125519,41,0
0.00458795,-0.888582,-1.49561e-012,-2.25503e-007,5.14322e-007,-1.92533e-008,0.00012858,42,0
0.00362003,-0.903085,-5.00175e-013,-2.31164e-007,5.26567e-007,-1.97574e-008,0.000131642,43,0
-0.00329962,-0.91003,-2.02583e-012,-2.36948e-007,5.38813e-007,-2.01629e-008,0.000134703,44,0
-0.00285615,-0.919292,1.52365e-012,-2.4411e-007,5.51059e-007,-2.05266e-008,0.000137765,45,0
0.00475085,-0.948252,3.84544e-012,-2.50665e-007,5.63305e-007,-2.11043e-008,0.000140826,46,0
0.000522344,-0.986383,1.1341e-012,-2.5512e-007,5.7555e-007,-2.16568e-008,0.000143888,47,0
9.56156e-005,-1.01975,3.48883e-012,-2.58143e-007,5.87796e-007,-2.20331e-008,0.000146949,48,0
0.00111774,-1.03535,1.86071e-012,-2.60972e-007,6.00042e-007,-2.26704e-008,0.00015001,49,0
-0.00800038,-1.04424,-4.97259e-012,-2.65407e-007,6.12288e-007,-2.31405e-008,0.000153072,50,0
-0.00740799,-1.05795,-1.3582e-012,-2.72366e-007,6.24533e-007,-2.37153e-008,0.000156133,51,0
0.00706763,-1.07065,-5.83884e-012,-2.81604e-007,6.36779e-007,-2.39968e-008,0.000159195,52,0
0.0017603,-1.09306,2.03591e-012,-2.8858e-007,6.49025e-007,-2.4231e-008,0.000162256,53,0
0.00152082,-1.14443,9.47354e-012,-2.91237e-007,6.61271e-007,-2.50561e-008,0.000165318,54,0
0.00872056,-1.18985,1.8271e-012,-2.95389e-007,6.73516e-007,-2.57971e-008,0.000168379,55,0
-0.00576339,-1.1714,4.75113e-012,-3.001e-007,6.85762e-007,-2.58721e-008,0.000171441,56,0
-0.00442523,-1.19752,-3.74124e-013,-3.06326e-007,6.98008e-007,-2.66836e-008,0.000174502,57,0
0.0037573,-1.18213,3.75316e-012,-3.14254e-007,7.10254e-007,-2.66883e-008,0.000177563,58,0
-0.00160674,-1.21714,-2.45624e-012,-3.21429e-007,7.22499e-007,-2.73765e-008,0.000180625,59,0
0.00072974,-1.22377,2.0543e-012,-3.24379e-007,7.34745e-007,-2.78412e-008,0.000183686,60,0
0.00206723,-1.27708,-3.11192e-012,-3.28264e-007,7.46991e-007,-2.81137e-008,0.000186748,61,0
0.00232832,-1.29251,-1.52257e-012,-3.3226e-007,7.59237e-007,-2.82583e-008,0.000189809,62,0
-0.00555931,-1.37359,9.03105e-012,-3.35281e-007,7.71482e-007,-2.93791e-008,0.000192871,63,0
-0.0082911,-1.39396,5.61465e-012,-3.40172e-007,7.83728e-007,-2.99688e-008,0.000195932,64,0
0.00455428,-1.3836,2.98329e-012,-3.48947e-007,7.95974e-007,-2.96997e-008,0.000198993,65,0
0.00409069,-1.34981,-4.75195e-012,-3.58285e-007,8.0822e-007,-3.00626e-008,0.000202055,66,0
0.000643191,-1.32625,-2.2851e-012,-3.63869e-007,8.20465e-007,-3.01763e-008,0.000205116,67,0
-0.000355419,-1.33799,1.24965e-011,-3.67059e-007,8.32711e-007,-3.14068e-008,0.000208178,68,0
-0.00467051,-1.44082,-5.60236e-012,-3.71285e-007,8.44957e-007,-3.17921e-008,0.000211239,69,0
0.000234259,-1.51709,-6.92433e-012,-3.75206e-007,8.57203e-007,-3.23767e-008,0.000214301,70,0
0.000717144,-1.53034,-6.75047e-012,-3.81106e-007,8.69448e-007,-3.27759e-008,0.000217362,71,0
0.00811522,-1.5547,-8.74691e-012,-3.90255e-007,8.81694e-007,-3.31688e-008,0.000220424,72,0
0.00548942,-1.56386,-2.6633e-012,-3.97694e-007,8.9394e-007,-3.3889e-008,0.000223485,73,0
-0.00530595,-1.52587,7.34632e-012,-4.0063e-007,9.06186e-007,-3.46406e-008,0.000226546,74,0
0.000839335,-1.52161,-1.06315e-012,-4.04531e-007,9.18431e-007,-3.41394e-008,0.000229608,75,0
-0.00265861,-1.53802,4.62632e-012,-4.07529e-007,9.30677e-007,-3.50762e-008,0.000232669,76,0
-0.00451606,-1.5935,-2.2702e-012,-4.11796e-007,9.42923e-007,-3.55142e-008,0.000235731,77,0
-0.00272435,-1.64646,9.80523e-012,-4.16586e-007,9.55169e-007,-3.65432e-008,0.000238792,78,0
-0.001409,-1.64651,-3.30795e-012,-4.22933e-007,9.67414e-007,-3.62905e-008,0.000241854,79,0
-0.00536512,-1.66874,-7.76574e-012,-4.28048e-007,9.7966e-007,-3.68394e-008,0.000244915,80,0
0.00749924,-1.72776,-4.33198e-012,-4.35029e-007,9.91906e-007,-3.74787e-008,0.000247976,81,0
0.00699178,-1.75527,4.20509e-012,-4.42176e-007,1.00415e-006,-3.78403e-008,0.000251038,82,0
0.00260323,-1.75779,-1.37918e-011,-4.51377e-007,1.0164e-006,-3.84932e-008,0.000254099,83,0
-0.00249366,-1.74934,-2.97624e-012,-4.57658e-007,1.02864e-006,-3.88549e-008,0.000257161,84,0
0.00212938,-1.74649,1.06212e-011,-4.61953e-007,1.04089e-006,-3.90249e-008,0.000260222,85,0
-0.000526529,-1.75532,3.69909e-012,-4.6385e-007,1.05313e-006,-3.97525e-008,0.000263284,86,0
-1.38967e-005,-1.80249,5.76661e-012,-4.65459e-007,1.06538e-006,-3.99138e-008,0.000266345,87,0
-0.0115866,-1.84323,8.09204e-012,-4.70834e-007,1.07763e-006,-4.08097e-008,0.000269407,88,0
-0.00177945,-1.87147,1.72249e-011,-4.75619e-007,1.08987e-006,-4.11127e-008,0.000272468,89,0
-0.000518639,-1.90677,-2.95608e-012,-4.81643e-007,1.10212e-006,-4.17275e-008,0.000275529,90,0
0.003249,-1.91799,-3.35755e-012,-4.88407e-007,1.11436e-006,-4.17443e-008,0.000278591,91,0
0.0103346,-1.92529,3.03713e-012,-4.9549e-007,1.12661e-006,-4.21487e-008,0.000281652,92,0
0.00828187,-1.9463,1.17757e-011,-5.01963e-007,1.13885e-006,-4.29213e-008,0.000284714,93,0
-0.0080205,-1.96479,4.26385e-012,-5.09772e-007,1.1511e-006,-4.32947e-008,0.000287775,94,0
-0.0117981,-1.96564,-2.11106e-012,-5.15021e-007,1.16335e-006,-4.39593e-008,0.000290837,95,0
0.00909693,-1.99404,-2.14324e-011,-5.1901e-007,1.17559e-006,-4.42251e-008,0.000293898,96,0
-0.00258844,-2.03046,-1.43187e-013,-5.21297e-007,1.18784e-006,-4.47309e-008,0.000296959,97,0
-0.00090239,-2.04148,-8.42415e-012,-5.25288e-007,1.20008e-006,-4.505e-008,0.000300021,98,0
0.00110745,-2.0711,-1.43641e-011,-5.30673e-007,1.21233e-006,-4.61558e-008,0.000303082,99,0
-0.0048301,-2.10573,-2.1411e-012,-5.36966e-007,1.22458e-006,-4.6288e-008,0.000306144,100,0
-0.00244274,-2.12538,8.11688e-012,-5.43035e-007,1.23682e-006,-4.68794e-008,0.000309205,101,0
0.00622418,-2.13817,-3.28156e-012,-5.49941e-007,1.24907e-006,-4.74013e-008,0.000312267,102,0
0.00209248,-2.15784,-3.08773e-012,-5.55761e-007,1.26131e-006,-4.73964e-008,0.000315328,103,0
-0.00105888,-2.16102,-1.174e-011,-5.6243e-007,1.27356e-006,-4.81642e-008,0.00031839,104,0
0.00357144,-2.18672,4.03765e-012,-5.67851e-007,1.2858e-006,-4.83945e-008,0.000321451,105,0
0.00226077,-2.21379,-9.69567e-012,-5.71341e-007,1.29805e-006,-4.93582e-008,0.000324512,106,0
-0.000585835,-2.21893,-2.82336e-011,-5.7463e-007,1.3103e-006,-4.91171e-008,0.000327574,107,0
-0.00460663,-2.24582,-6.00306e-012,-5.79287e-007,1.32254e-006,-4.96789e-008,0.000330635,108,0
-0.00115208,-2.29031,-1.38853e-011,-5.85329e-007,1.33479e-006,-5.04832e-008,0.000333697,109,0
0.00364827,-2.33178,-6.30123e-012,-5.9259e-007,1.34703e-006,-5.06863e-008,0.000336758,110,0
0.00143498,-2.35226,6.43352e-012,-5.99025e-007,1.35928e-006,-5.13728e-008,0.00033982,111,0
-0.00132731,-2.33476,-7.81779e-012,-6.03974e-007,1.37152e-006,-5.16577e-008,0.000342881,112,0
-0.00482091,-2.35113,-1.04789e-011,-6.08902e-007,1.38377e-006,-5.1954e-008,0.000345942,113,0
-0.00230005,-2.3443,1.57489e-011,-6.14453e-007,1.39602e-006,-5.23244e-008,0.000349004,114,0
0.000828186,-2.3664,5.93502e-012,-6.20258e-007,1.40826e-006,-5.30799e-008,0.000352065,115,0
0.0030526,-2.43214,-1.16625e-012,-6.24224e-007,1.42051e-006,-5.29038e-008,0.000355127,116,0
0.00451469,-2.5082,-5.65883e-012,-6.26847e-007,1.43275e-006,-5.40174e-008,0.000358188,117,0
-0.00477761,-2.49861,-1.38191e-011,-6.30238e-007,1.445e-006,-5.41851e-008,0.00036125,118,0
-0.00523863,-2.50932,3.51549e-012,-6.3751e-007,1.45724e-006,-5.49533e-008,0.000364311,119,0
0.00160517,-2.46829,9.78193e-012,-6.47056e-007,1.46949e-006,-5.50458e-008,0.000367373,120,0
0.00101616,-2.4739,9.11583e-012,-6.56503e-007,1.48174e-006,-5.5686e-008,0.000370434,121,0
0.0063482,-2.50353,1.41174e-011,-6.63325e-007,1.49398e-006,-5.59524e-008,0.000373495,122,0
0.00509243,-2.60286,-8.82021e-012,-6.65397e-007,1.50623e-006,-5.69926e-008,0.000376557,123,0
-0.0074486,-2.63119,-1.73516e-011,-6.66682e-007,1.51847e-006,-5.73535e-008,0.000379618,124,0
-0.00592756,-2.64701,-1.66631e-011,-6.69245e-007,1.53072e-006,-5.81656e-008,0.00038268,125,0
0.000299647,-2.6606,-7.54485e-012,-6.74353e-007,1.54296e-006,-5.84676e-008,0.000385741,126,0
0.00308556,-2.65336,4.01812e-012,-6.81912e-007,1.55521e-006,-5.84575e-008,0.000388803,127,0
-6.53103e-005,-2.64863,-2.27168e-012,-6.8908e-007,1.56746e-006,-5.96463e-008,0.000391864,128,0
0.000193027,-2.65326,-4.2213e-012,-6.96936e-007,1.5797e-006,-5.93783e-008,0.000394925,129,0
0.00788751,-2.69983,-2.47858e-013,-7.02411e-007,1.59195e-006,-6.0033e-008,0.000397987,130,0
0.00123944,-2.74201,8.1326e-012,-7.06099e-007,1.60419e-006,-6.05464e-008,0.000401048,131,0
-0.00350459,-2.78451,6.18163e-012,-7.0912e-007,1.61644e-006,-6.14476e-008,0.00040411,132,0
0.0011802,-2.79616,-6.35454e-012,-7.14275e-007,1.62868e-006,-6.1303e-008,0.000407171,133,0
-0.00805766,-2.81607,1.54278e-011,-7.20219e-007,1.64093e-006,-6.20254e-008,0.000410233,134,0
0.00157158,-2.8473,-3.68346e-012,-7.27925e-007,1.65318e-006,-6.23696e-008,0.000413294,135,0
0.00391597,-2.83297,-5.11029e-012,-7.33198e-007,1.66542e-006,-6.29882e-008,0.000416356,136,0
0.00103093,-2.81658,9.4996e-013,-7.37721e-007,1.67767e-006,-6.28164e-008,0.000419417,137,0
-0.0068298,-2.8544,3.07803e-012,-7.43385e-007,1.68991e-006,-6.37796e-008,0.000422478,138,0
-0.00116712,-2.88886,2.21289e-011,-7.50754e-007,1.70216e-006,-6.36506e-008,0.00042554,139,0
0.00160615,-2.9535,1.14825e-011,-7.56303e-007,1.71441e-006,-6.49209e-008,0.000428601,140,0
0.00861903,-3.01477,-1.0529e-011,-7.6117e-007,1.72665e-006,-6.49334e-008,0.000431663,141,0
0.00693161,-2.992,-2.67961e-011,-7.65116e-007,1.7389e-006,-6.54656e-008,0.000434724,142,0
-0.00172306,-2.97012,-7.1307e-012,-7.67007e-007,1.75114e-006,-6.53463e-008,0.000437786,143,0
