Gage_Displacement_NodeSet:0,Gage_Displacement_NodeSet:1,Gage_Displacement_NodeSet:2,Reaction_Force:0,Reaction_Force:1,Reaction_Force:2
0,0,0,0,0,0
-1.22401e-007,-6.7869e-010,-3.25499e-010,9.27118e-005,-3.41953e-007,3.7399e-008
-2.44802e-007,-5.38281e-009,-2.59412e-009,0.000182099,-6.5885e-007,7.34381e-008
-3.67203e-007,-1.77074e-008,-8.6034e-009,0.000265042,-9.27749e-007,1.06823e-007
-4.89604e-007,-4.04325e-008,-1.98722e-008,0.000338819,-1.12974e-006,1.36387e-007
-6.12005e-007,-7.52238e-008,-3.75316e-008,0.000401265,-1.25151e-006,1.61145e-007
-7.34406e-007,-1.22452e-007,-6.22482e-008,0.000450895,-1.28644e-006,1.80341e-007
-8.56807e-007,-1.81145e-007,-9.41927e-008,0.000486968,-1.23507e-006,1.9348e-007
-9.79208e-007,-2.49083e-007,-1.33201e-007,0.000509508,-1.10499e-006,2.0035e-007
-1.10161e-006,-3.23021e-007,-1.78452e-007,0.000519257,-9.1009e-007,2.01025e-007
-1.22401e-006,-3.99012e-007,-2.28806e-007,0.000517596,-6.6929e-007,1.95854e-007
-1.34641e-006,-4.72806e-007,-2.82827e-007,0.000506408,-4.04829e-007,1.85435e-007
-1.46881e-006,-5.40264e-007,-3.38889e-007,0.000487927,-1.40296e-007,1.70574e-007
-1.59121e-006,-5.9777e-007,-4.04357e-007,0.000464561,1.01428e-007,1.52234e-007
-1.71361e-006,-6.4257e-007,-4.74157e-007,0.00043872,3.00153e-007,1.31473e-007
-1.83601e-006,-6.73027e-007,-5.44986e-007,0.000412653,4.40092e-007,1.09384e-007
-1.95842e-006,-6.88756e-007,-6.15177e-007,0.00038831,5.11172e-007,8.7021e-008
-2.08082e-006,-6.90632e-007,-6.83042e-007,0.000367238,5.09824e-007,6.53471e-008
-2.20322e-006,-6.80675e-007,-7.47478e-007,0.000350518,4.39203e-007,4.51742e-008
-2.32562e-006,-6.61831e-007,-8.07249e-007,0.000338739,3.0881e-007,2.71245e-008
-2.44802e-006,-6.37661e-007,-8.60582e-007,0.000332016,1.3357e-007,1.16019e-008
-2.57042e-006,-6.11991e-007,-9.0653e-007,0.000330044,-6.75439e-008,-1.21815e-009
-2.69282e-006,-5.88555e-007,-9.44436e-007,0.000332174,-2.73227e-007,-1.13832e-008
-2.81522e-006,-5.70655e-007,-9.73207e-007,0.000337523,-4.61739e-007,-1.91416e-008
-2.93762e-006,-5.60889e-007,-9.92301e-007,0.000345071,-6.12809e-007,-2.49063e-008
-3.06002e-006,-5.60961e-007,-1.00138e-006,0.000353778,-7.09398e-007,-2.92076e-008
-3.18242e-006,-5.71588e-007,-1.00119e-006,0.000362679,-7.39155e-007,-3.26389e-008
-3.30483e-006,-5.92506e-007,-9.92039e-007,0.000370962,-6.95468e-007,-3.58001e-008
-3.42723e-006,-6.2258e-007,-9.73374e-007,0.000378026,-5.78003e-007,-3.92434e-008
-3.54963e-006,-6.59976e-007,-9.4562e-007,0.000383511,-3.92717e-007,-4.34255e-008
-3.67203e-006,-7.02399e-007,-9.09345e-007,0.000387306,-1.51335e-007,-4.86708e-008
-3.79443e-006,-7.4735e-007,-8.65245e-007,0.000389525,1.29647e-007,-5.51477e-008
-3.91683e-006,-7.92381e-007,-8.14128e-007,0.00039047,4.30346e-007,-6.28599e-008
-4.03923e-006,-8.35323e-007,-7.56899e-007,0.000390577,7.29138e-007,-7.16536e-008
-4.16163e-006,-8.74465e-007,-7.14586e-007,0.000390356,1.00444e-006,-8.12382e-008
-4.28403e-006,-9.08667e-007,-6.8548e-007,0.000390323,1.23646e-006,-9.12192e-008
-4.40643e-006,-9.37416e-007,-6.88328e-007,0.000390949,1.40878e-006,-1.0114e-007
-4.52884e-006,-9.60802e-007,-7.24719e-007,0.000392604,1.50968e-006,-1.10527e-007
-4.65124e-006,-9.7945e-007,-7.61657e-007,0.000395526,1.53305e-006,-1.18938e-007
-4.77364e-006,-9.94401e-007,-7.99063e-007,0.0003998,1.4788e-006,-1.26001e-007
-4.89604e-006,-1.00698e-006,-8.36808e-007,0.000405351,1.35292e-006,-1.31452e-007
-5.01844e-006,-1.01862e-006,-8.74724e-007,0.000411962,1.16692e-006,-1.35158e-007
-5.14084e-006,-1.03077e-006,-9.12615e-007,0.000419294,9.36908e-007,-1.3713e-007
-5.26324e-006,-1.04472e-006,-9.50272e-007,0.000426919,6.82341e-007,-1.37519e-007
