Gage_Displacement_NodeSet:0,Gage_Displacement_NodeSet:1,Gage_Displacement_NodeSet:2,Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,Time
0,0,0,0,0,0,0
1.52882e-007,-1.45999e-008,0,-0.000673003,-3.76624e-007,-1.00671e-007,1.83458e-008
3.05764e-007,-7.8221e-008,0,-0.000863382,-3.35559e-008,-1.60242e-007,3.66917e-008
4.58646e-007,-1.35274e-007,0,-0.000461001,6.87703e-007,-1.17971e-007,5.50375e-008
6.11528e-007,-1.27121e-007,0,0.000155408,1.00686e-006,2.60766e-008,7.33834e-008
7.6441e-007,-1.35751e-007,0,0.000543824,9.09452e-007,1.73843e-007,9.17292e-008
9.17292e-007,-1.43e-007,0,0.000434314,7.49932e-007,2.28025e-007,1.10075e-007
1.07017e-006,-1.35962e-007,0,-2.63647e-005,3.49418e-007,1.08711e-007,1.28421e-007
1.22306e-006,-1.66691e-007,0,-0.000462289,-3.30468e-007,-1.36873e-007,1.46767e-007
1.37594e-006,-1.99325e-007,0,-0.000539446,-5.59195e-007,-2.81627e-007,1.65113e-007
1.52882e-006,-2.18224e-007,0,-0.000203241,3.64725e-007,-1.4984e-007,1.83458e-007
1.6817e-006,-2.06475e-007,0,0.000263397,1.92785e-006,1.79392e-007,2.01804e-007
1.83458e-006,-1.73403e-007,0,0.000509325,2.56353e-006,3.83607e-007,2.2015e-007
1.98747e-006,-1.37298e-007,0,0.000338817,1.23687e-006,2.61187e-007,2.38496e-007
2.14035e-006,-1.56648e-007,0,-0.000106696,-1.56735e-006,-5.70288e-008,2.56842e-007
2.29323e-006,-1.56687e-007,0,-0.000495612,-4.23959e-006,-2.46428e-007,2.75188e-007
2.44611e-006,-1.40647e-007,0,-0.000553332,-5.03741e-006,-1.53748e-007,2.93533e-007
2.59899e-006,-1.63739e-007,0,-0.000242919,-3.23538e-006,6.48468e-008,3.11879e-007
2.75188e-006,-1.70861e-007,0,0.000169077,2.63578e-007,2.02201e-007,3.30225e-007
2.90476e-006,-1.7453e-007,0,0.000378681,3.35826e-006,1.73249e-007,3.48571e-007
3.05764e-006,-1.58986e-007,0,0.000232651,3.79347e-006,5.43089e-008,3.66917e-007
3.21052e-006,-1.92285e-007,0,-0.000139165,7.62877e-007,-3.8268e-008,3.85263e-007
3.3634e-006,-2.59857e-007,0,-0.000430291,-4.0231e-006,-7.19266e-008,4.03609e-007
3.51629e-006,-3.37974e-007,0,-0.000427335,-7.02891e-006,-5.54459e-008,4.21954e-007
3.66917e-006,-3.69556e-007,0,-0.000129116,-5.24587e-006,-2.23958e-009,4.403e-007
3.82205e-006,-3.52108e-007,0,0.000213652,9.71207e-007,6.6837e-008,4.58646e-007
3.97493e-006,-3.08103e-007,0,0.000347378,7.45195e-006,1.27083e-007,4.76992e-007
4.12781e-006,-2.8645e-007,0,0.000176976,9.12237e-006,1.463e-007,4.95338e-007
4.2807e-006,-3.09649e-007,0,-0.000148057,4.02065e-006,7.03027e-008,5.13684e-007
4.43358e-006,-3.28526e-007,0,-0.000371527,-4.78731e-006,-7.12479e-008,5.32029e-007
4.58646e-006,-3.09018e-007,0,-0.000349964,-1.11237e-005,-1.5763e-007,5.50375e-007
4.73934e-006,-3.14582e-007,0,-0.000108259,-1.00071e-005,-1.14353e-007,5.68721e-007
4.89222e-006,-3.25516e-007,0,0.00014954,-1.51613e-006,4.79059e-008,5.87067e-007
5.04511e-006,-3.20279e-007,0,0.000246286,8.68989e-006,1.80513e-007,6.05413e-007
5.19799e-006,-3.19723e-007,0,0.00011666,1.3207e-005,1.60746e-007,6.23759e-007
5.35087e-006,-3.38764e-007,0,-0.000137849,8.70934e-006,-1.85363e-008,6.42104e-007
5.50375e-006,-3.78652e-007,0,-0.000318387,-1.15675e-006,-2.09221e-007,6.6045e-007
5.65663e-006,-4.02518e-007,0,-0.000306399,-8.54643e-006,-2.09608e-007,6.78796e-007
5.80951e-006,-4.43748e-007,0,-0.000112832,-7.80683e-006,-2.64989e-008,6.97142e-007
5.9624e-006,-4.32794e-007,0,0.000106676,2.33293e-008,1.48909e-007,7.15488e-007
